"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458316.19378903,2458316.19574549,169.038
2458316.31290848,2458316.31660016,318.961
2458316.43180987,2458316.43664506,417.761
2458316.55031317,2458316.55606809,497.225
2458316.66837840,2458316.67491496,564.759
2458316.78598433,2458316.79321049,624.340
2458316.90312010,2458316.91097246,678.444
2458317.01978155,2458317.02821155,728.352
2458317.13596497,2458317.14493137,774.697
2458317.25166744,2458317.26113599,818.083
2458317.36688775,2458317.37682982,858.995
2458317.48162533,2458317.49201862,897.980
2458317.59588375,2458317.60670580,935.025
2458317.70966446,2458317.72089317,970.161
2458317.82296771,2458317.83458514,1003.746
2458317.93579493,2458317.94778722,1036.135
2458318.04814757,2458318.06050118,1067.353
2458318.16002521,2458318.17272667,1097.406
2458318.27142775,2458318.28446500,1126.419
2458318.38235561,2458318.39571840,1154.545
2458318.49281122,2458318.50649074,1181.911
2458318.60279820,2458318.61678358,1208.337
2458318.71231778,2458318.72659830,1233.837
2458318.82137120,2458318.83593822,1258.591
2458318.92996072,2458318.94480758,1282.768
2458319.03808748,2458319.05320707,1306.332
2458319.14575112,2458319.16113599,1329.252
2458319.25295167,2458319.26859485,1351.571
2458319.35968949,2458319.37558520,1373.389
2458319.46596679,2458319.48211002,1394.775
2458319.57178696,2458319.58817066,1415.552
2458319.67715096,2458319.69376848,1435.753
2458319.78206019,2458319.79890563,1455.445
2458319.88651673,2458319.90358538,1474.732
2458319.99052231,2458320.00780997,1493.654
2458320.09407629,2458320.11157794,1512.143
2458320.19717819,2458320.21488893,1530.208
2458320.29982814,2458320.31774358,1547.894
2458320.40202702,2458320.42014371,1565.282
2458320.50377794,2458320.52209155,1582.296
2458320.60508265,2458320.62358791,1598.855
2458320.70594164,2458320.72463397,1615.017
2458320.80635634,2458320.82523172,1630.833
2458320.90632915,2458320.92538447,1646.380
2458321.00586047,2458321.02509229,1661.629
2458321.10494914,2458321.12435367,1676.552
2458321.20359456,2458321.22316811,1691.155
2458321.30179657,2458321.32153589,1705.478
2458321.39955591,2458321.41945839,1719.574
2458321.49687525,2458321.51693719,1733.352
2458321.59375564,2458321.61397293,1746.773
2458321.69019718,2458321.71056619,1759.882
2458321.78620104,2458321.80671866,1772.722
2458321.88176937,2458321.90243280,1785.321
2458321.97690237,2458321.99770905,1797.698
2458322.07159820,2458322.09254502,1809.805
2458322.16585569,2458322.18693954,1821.645
2458322.25967417,2458322.28089217,1833.235
2458322.35305337,2458322.37440317,1844.623
2458322.44599499,2458322.46747401,1855.788
2458322.53850036,2458322.56010485,1866.628
2458322.63056919,2458322.65229606,1877.202
2458322.72220148,2458322.74404798,1887.538
2458322.81339818,2458322.83536160,1897.640
2458322.90416083,2458322.92623896,1907.551
2458322.99448742,2458323.01667778,1917.247
2458323.08437576,2458323.10667561,1926.707
2458323.17382406,2458323.19623067,1935.931
2458323.26283103,2458323.28534196,1944.945
2458323.35139560,2458323.37400877,1953.778
2458323.43951888,2458323.46223171,1962.388
2458323.52720090,2458323.55001022,1970.725
2458323.61444061,2458323.63734368,1978.825
2458323.70123725,2458323.72423163,1986.714
2458323.78759041,2458323.81067363,1994.391
2458323.87350091,2458323.89667086,2001.884
2458323.95896626,2458323.98222081,2009.192
2458324.04398269,2458324.06731922,2016.276
2458324.12854689,2458324.15196300,2023.152
2458324.21265617,2458324.23614937,2029.812
2458324.29630787,2458324.31987610,2036.295
2458324.37950043,2458324.40314156,2042.594
2458324.46223309,2458324.48594432,2048.650
2458324.54450371,2458324.56828243,2054.481
2458324.62630918,2458324.65015298,2060.105
2458324.70764706,2458324.73155381,2065.543
2458324.78851501,2458324.81248236,2070.779
2458324.86891159,2458324.89293752,2075.841
2458324.94883110,2458324.97291358,2080.726
2458325.02826683,2458325.05240343,2085.402
2458325.10721252,2458325.13140101,2089.885
2458325.18566224,2458325.20990024,2094.164
2458325.26360940,2458325.28789498,2098.274
2458325.34104781,2458325.36537890,2102.206
2458325.41797244,2458325.44234680,2105.945
2458325.49437690,2458325.51879205,2109.468
2458325.57025326,2458325.59470724,2112.824
2458325.64559217,2458325.67008290,2115.999
2458325.72038428,2458325.74490999,2119.022
2458325.79462030,2458325.81917916,2121.885
2458325.86828868,2458325.89287929,2124.628
2458325.94137189,2458325.96599270,2127.238
2458326.01385015,2458326.03849959,2129.712
2458326.08570192,2458326.11037884,2132.086
2458326.15690281,2458326.18160640,2134.390
2458326.22742330,2458326.25215333,2136.675
2458326.29722718,2458326.32198415,2139.002
2458326.36627293,2458326.39105852,2141.475
2458326.43450717,2458326.45932481,2144.245
2458326.50185431,2458326.52671089,2147.608
2458326.56820001,2458326.59310929,2152.162
2458326.63335047,2458326.65834305,2159.359
2458326.69687190,2458326.72204316,2174.796

