"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458271.58046781,2458271.59567592,1313.980
2458272.01606551,2458272.03129965,1316.230
2458272.44945895,2458272.46471897,1318.466
2458272.88073103,2458272.89601677,1320.687
2458273.30995652,2458273.32526772,1322.888
2458273.73720223,2458273.75253874,1325.074
2458274.16252708,2458274.17788858,1327.234
2458274.58598488,2458274.60137130,1329.387
2458275.00762066,2458275.02303177,1331.520
2458275.42747085,2458275.44290650,1333.640
2458275.84557027,2458275.86103028,1335.745
2458276.26194420,2458276.27742836,1337.831
2458276.67661232,2458276.69212053,1339.910
2458277.08958171,2458277.10511368,1341.962
2458277.50085681,2458277.51641251,1344.012
2458277.91044153,2458277.92602084,1346.053
2458278.31833071,2458278.33393354,1348.084
2458278.72451365,2458278.74013988,1350.106
2458279.12897607,2458279.14462551,1352.112
2458279.53170232,2458279.54737505,1354.124
2458279.93267576,2458279.94837171,1356.130
2458280.33187933,2458280.34759852,1358.138
2458280.72929776,2458280.74504013,1360.140
2458281.12491981,2458281.14068522,1362.131
2458281.51874128,2458281.53452987,1364.134
2458281.91076643,2458281.92657814,1366.132
2458282.30100697,2458282.31684179,1368.129
2458282.68948299,2458282.70534087,1370.120
2458283.07622390,2458283.09210464,1372.096
2458283.46126708,2458283.47717069,1374.073
2458283.84466207,2458283.86058843,1376.037
2458284.22646079,2458284.24240973,1377.988
2458284.60672023,2458284.62269157,1379.924
2458284.98549260,2458285.00148606,1381.835
2458285.36283351,2458285.37884894,1383.733
2458285.73879859,2458285.75483572,1385.608
2458286.11343889,2458286.12949730,1387.446
2458286.48680204,2458286.50288158,1389.272
2458286.85893062,2458286.87503095,1391.069
2458287.22986020,2458287.24598111,1392.847
2458287.59962247,2458287.61576370,1394.602
2458287.96823998,2458287.98440119,1396.328
2458288.33573349,2458288.35191447,1398.037
2458288.70211997,2458288.71832047,1399.723
2458289.06741310,2458289.08363272,1401.375
2458289.43162122,2458289.44785988,1403.020
2458289.79475070,2458289.81100829,1404.656
2458290.15680421,2458290.17308041,1406.264
2458290.51778632,2458290.53408110,1407.869
2458290.87769472,2458290.89400784,1409.453
2458291.23652705,2458291.25285841,1411.030
2458291.59428045,2458291.61062993,1412.595
2458291.95095014,2458291.96731760,1414.149
2458292.30653200,2458292.32291742,1415.700
2458292.66102395,2458292.67742713,1417.235
2458293.01442373,2458293.03084445,1418.751
2458293.36672915,2458293.38316747,1420.271
2458293.71794141,2458293.73439723,1421.783
2458294.06806179,2458294.08453495,1423.280
2458294.41709468,2458294.43358513,1424.775
2458294.76504525,2458294.78155293,1426.264
2458295.11191906,2458295.12844381,1427.738
2458295.45772681,2458295.47426856,1429.208
2458295.80247822,2458295.81903684,1430.665
2458296.14618397,2458296.16275945,1432.121
2458296.48885984,2458296.50545203,1433.566
2458296.83051927,2458296.84712799,1434.993
2458297.17117649,2458297.18780174,1436.422
2458297.51084954,2458297.52749112,1437.832
2458297.84955459,2458297.86621234,1439.230
2458298.18730870,2458298.20398261,1440.626
2458298.52413071,2458298.54082054,1442.001
2458298.86003737,2458298.87674299,1443.365
2458299.19504826,2458299.21176955,1444.719
2458299.52918071,2458299.54591750,1446.059
2458299.86245167,2458299.87920380,1447.385
2458300.19487918,2458300.21164658,1448.703
2458300.52648134,2458300.54326375,1450.001
2458300.85727477,2458300.87407206,1451.286
2458301.18727468,2458301.20408677,1452.565
2458301.51649524,2458301.53332187,1453.820
2458301.84494911,2458301.86179016,1455.067
2458302.17264891,2458302.18950434,1456.309
2458302.49960670,2458302.51647624,1457.528
2458302.82583260,2458302.84271612,1458.736
2458303.15133607,2458303.16823346,1459.935
2458303.47612701,2458303.49303809,1461.118
2458303.80021259,2458303.81713715,1462.282
2458304.12359863,2458304.14053657,1463.438
2458304.44629297,2458304.46324416,1464.583
2458304.76829944,2458304.78526369,1465.711
2458305.08962033,2458305.10659746,1466.824
2458305.41026071,2458305.42725067,1467.932
2458305.73022149,2458305.74722415,1469.030
2458306.04950206,2458306.06651715,1470.104
2458306.36810453,2458306.38513210,1471.182
2458306.68602742,2458306.70306735,1472.251
2458307.00326876,2458307.02032079,1473.295
2458307.31982776,2458307.33689202,1474.351
2458307.63570184,2458307.65277821,1475.398
2458307.95088904,2458307.96797721,1476.418
2458308.26538612,2458308.28248636,1477.461
2458308.57919134,2458308.59630341,1478.483
2458308.89230269,2458308.90942659,1479.505
2458309.20471885,2458309.22185466,1480.534
2458309.51643950,2458309.53358714,1481.555
2458309.82746575,2458309.84462517,1482.574
2458310.13780014,2458310.15497150,1483.606
2458310.44744737,2458310.46463055,1484.627
2458310.75641275,2458310.77360762,1485.637
2458311.06470148,2458311.08190804,1486.647
2458311.37232340,2458311.38954172,1487.663
2458311.67928630,2458311.69651629,1488.672
2458311.98559872,2458312.00284026,1489.669
2458312.29127227,2458312.30852551,1490.680
2458312.59631736,2458312.61358217,1491.679
2458312.90074564,2458312.91802193,1492.672
2458313.20456802,2458313.22185594,1493.676
2458313.50779612,2458313.52509549,1494.666
2458313.81044193,2458313.82775271,1495.652
2458314.11251716,2458314.12983944,1496.645
2458314.41403426,2458314.43136783,1497.621
2458314.71500361,2458314.73234836,1498.586
2458315.01543303,2458315.03278875,1499.534
2458315.31533285,2458315.33269956,1500.484
2458315.61470927,2458315.63208689,1501.426
2458315.91356875,2458315.93095704,1502.347
2458316.21191626,2458316.22931534,1503.280
2458316.50975608,2458316.52716576,1504.197
2458316.80709238,2458316.82451267,1505.113
2458317.10392892,2458317.12135985,1506.032
2458317.40026978,2458317.41771122,1506.940
2458317.69611739,2458317.71356917,1507.834
2458317.99147163,2458318.00893358,1508.712
2458318.28633517,2458318.30380743,1509.603
2458318.58070718,2458318.59818967,1510.487
2458318.87458775,2458318.89208030,1511.356
2458319.16797600,2458319.18547888,1512.249
