"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458271.16829333,2458271.21340412,3897.572
2458271.60631269,2458271.65145999,3900.727
2458272.03863967,2458272.08380901,3902.631
2458272.46526736,2458272.51044339,3903.208
2458272.88621414,2458272.93138266,3902.560
2458273.30152920,2458273.34667753,3900.816
2458273.71127102,2458273.75638589,3897.925
2458274.11552438,2458274.16059533,3894.130
2458274.51439745,2458274.55941269,3889.317
2458274.90800965,2458274.95295993,3883.705
2458275.29648783,2458275.34136349,3877.258
2458275.67995507,2458275.72474661,3869.989
2458276.05854131,2458276.10324090,3862.044
2458276.43238006,2458276.47697890,3853.340
2458276.80159793,2458276.84608690,3843.847
2458277.16632164,2458277.21069524,3833.879
2458277.52667025,2458277.57092005,3823.182
2458277.88275576,2458277.92687486,3811.890
2458278.23468423,2458278.27866666,3800.082
2458278.58254725,2458278.62638497,3787.578
2458278.92643099,2458278.97011798,3774.556
2458279.26640924,2458279.30993857,3760.934
2458279.60254424,2458279.64590830,3746.655
2458279.93489545,2458279.97808820,3731.853
2458280.26351102,2458280.30652565,3716.464
2458280.58843060,2458280.63125964,3700.429
2458280.90969300,2458280.95233040,3683.872
2458281.22732746,2458281.26976715,3666.789
2458281.54135784,2458281.58359239,3649.065
2458281.85180733,2458281.89383009,3630.767
2458282.15869687,2458282.20050386,3612.125
2458282.46204347,2458282.50362817,3592.918
2458282.76185994,2458282.80321609,3573.171
2458283.05816348,2458283.09928811,3553.169
2458283.35096622,2458283.39185375,3532.683
2458283.64028207,2458283.68092848,3511.850
2458283.92612644,2458283.96652787,3490.684
2458284.20851645,2458284.24866960,3469.232
2458284.48747387,2458284.52737477,3447.438
2458284.76302492,2458284.80267032,3425.362
2458285.03520199,2458285.07459167,3403.268
2458285.30403681,2458285.34316850,3380.978
2458285.56956496,2458285.60843676,3358.523
2458285.83182448,2458285.87043435,3335.893
2458286.09086228,2458286.12921213,3313.427
2458286.34672568,2458286.38481437,3290.864
