"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458272.00385041,2458272.01306942,796.522
2458274.10468364,2458274.11093551,540.161
2458274.90825035,2458274.91310242,419.219
2458276.09306363,2458276.09967445,571.175
2458277.97592100,2458277.98526841,807.617
2458279.06661013,2458279.07411391,648.327
2458284.04519580,2458284.05305918,679.396
2458284.96075951,2458284.97029919,824.228
2458287.02770699,2458287.03594687,711.926
2458287.87786013,2458287.88187283,346.698
2458288.98541705,2458288.99471661,803.482
2458290.06535283,2458290.07101629,489.323
2458291.86922598,2458291.87293126,320.136
2458294.07024367,2458294.07351501,282.644
2458294.99894654,2458295.00747239,736.634
2458295.90364546,2458295.91304428,812.058
2458297.01144009,2458297.01914088,665.349
2458297.86581445,2458297.87262045,588.038
2458298.90958997,2458298.91937355,845.301
2458299.92463412,2458299.93453902,855.783
2458300.91055696,2458300.92045120,854.862
2458301.86978819,2458301.87831835,737.006
2458302.99205200,2458302.99964042,655.639
2458303.89193012,2458303.90172626,846.387
2458304.94898925,2458304.95818987,794.933
2458305.97296819,2458305.98093580,688.401
2458306.96409100,2458306.97229894,709.166
2458307.92386240,2458307.93347770,830.762
2458308.85585842,2458308.86467688,761.915
2458309.01728129,2458309.01940963,183.888
2458309.91286205,2458309.92254369,836.494
2458310.93533628,2458310.94401734,750.043
2458311.92304584,2458311.93204181,777.252
2458312.87812535,2458312.88812436,863.914
2458313.94052952,2458313.94784809,632.324
2458314.83196647,2458314.83833520,550.258
2458314.96497222,2458314.96942446,384.674
2458315.82367625,2458315.82817188,388.423
2458315.95154181,2458315.95663453,440.011
2458316.90166035,2458316.91015067,733.564
2458317.81948822,2458317.82591478,555.254
2458317.94058744,2458317.94501692,382.707
2458318.81854181,2458318.82636933,676.298
2458318.93664085,2458318.94038517,323.510
2458319.89002356,2458319.89783061,674.530
2458320.44749982,2458320.45606357,739.908
2458320.80284854,2458320.81288481,867.133
2458320.91423480,2458320.91834081,354.759
2458321.44608715,2458321.45652947,902.217
2458321.55098357,2458321.56436928,1156.525
2458321.78001257,2458321.79187056,1024.530
2458321.88764648,2458321.89415953,562.727
2458322.40024838,2458322.40688633,573.519
2458322.49522911,2458322.51045301,1315.345
2458322.59714373,2458322.61397663,1454.363
2458322.70556259,2458322.72084263,1320.196
2458322.81020611,2458322.82361697,1158.698
2458323.39933887,2458323.40698729,660.824
2458323.48930488,2458323.50457922,1319.703
2458323.58260920,2458323.60222300,1694.632
2458323.68154161,2458323.70087079,1670.041
2458323.78066763,2458323.79690602,1402.997
2458323.88002054,2458323.88517061,444.966
2458324.42801271,2458324.43915978,963.107
2458324.51378291,2458324.52999800,1400.984
2458324.60114390,2458324.62090392,1707.266
2458324.69108075,2458324.71135358,1751.573
2458324.78229581,2458324.79818649,1372.955
2458324.87500549,2458324.87831139,285.630
2458325.46800680,2458325.48013112,1047.541
2458325.54809930,2458325.56382462,1358.667
2458325.62882365,2458325.64590223,1475.590
2458325.70990689,2458325.72600120,1390.549
2458325.79201807,2458325.80331467,976.026
2458326.48561344,2458326.49213696,563.632
2458326.55625566,2458326.56376005,648.380
2458326.62651159,2458326.63328468,585.195
2458326.69638614,2458326.69961469,278.947

