"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458271.57036743,2458271.57952375,791.106
2458273.70617493,2458273.71092551,410.450
2458274.52612742,2458274.53440122,714.856
2458276.53706617,2458276.54593419,766.197
2458279.59992441,2458279.60885330,771.456
2458282.47263185,2458282.47547473,245.625
2458283.50224812,2458283.51046920,710.301
2458284.51257958,2458284.52137342,759.788
2458285.50346390,2458285.51198298,736.049
2458286.47743146,2458286.48416050,581.390
2458289.61290467,2458289.62072293,675.498
2458290.51740751,2458290.52667639,800.831
2458292.58574722,2458292.59424169,733.921
2458294.57773482,2458294.58630072,740.094
2458296.49800195,2458296.50713030,788.689
2458297.57089119,2458297.57938748,734.079
2458298.62479649,2458298.63017472,464.679
2458303.62647862,2458303.62955754,266.018
2458304.57893277,2458304.58601525,611.926
2458305.51746496,2458305.52651223,781.684
2458306.44523700,2458306.45172150,560.261
2458307.59150375,2458307.59692669,468.542
2458308.48495645,2458308.49388336,771.285
2458309.59611153,2458309.60032181,363.768
2458310.46030872,2458310.46850644,708.283
2458311.53363399,2458311.54145665,675.878
2458312.59038015,2458312.59381358,296.648
2458314.43824575,2458314.44400718,497.788
2458315.44568409,2458315.45284738,618.909
2458316.43925388,2458316.44514411,508.916
2458318.58140287,2458318.58213200,62.997
2458319.52679369,2458319.53266491,507.273
2458320.46006043,2458320.46721482,618.139
2458322.47481230,2458322.48150093,577.898
2458323.55336586,2458323.55440011,89.359
2458325.47184030,2458325.47724589,467.043
2458326.49927813,2458326.50312593,332.450
2458327.51071286,2458327.51284534,184.247
2458328.50623243,2458328.50742484,103.024
2458339.99253163,2458339.99558294,263.633
2458340.94634701,2458340.95287501,564.020
2458341.88877814,2458341.89058565,156.168
2458342.94681475,2458342.95521172,725.498
2458343.98755112,2458343.99783302,888.357
2458344.88059497,2458344.88461621,347.435
2458345.00943818,2458345.02029352,937.901
2458345.88513402,2458345.89070581,481.403
2458346.01233675,2458346.02387196,996.642
2458346.87245070,2458346.87706965,399.077
2458346.99643757,2458347.00861194,1051.865
2458347.96215703,2458347.97394936,1018.857
2458348.91020960,2458348.91974994,824.286
2458349.03203820,2458349.04510166,1128.683
2458349.95847833,2458349.97073236,1058.748
2458350.08223265,2458350.09064178,726.549
2458350.86912632,2458350.87611827,604.105
2458350.98433390,2458350.99762606,1148.443
2458351.87399052,2458351.88193862,686.715
2458351.98717939,2458352.00071871,1169.797
2458352.10740020,2458352.11512250,667.207
2458352.85729164,2458352.86309122,501.084
2458352.96697717,2458352.97999764,1124.969
2458353.08052171,2458353.09466772,1222.215
2458353.92403901,2458353.93545046,985.949
2458354.03371993,2458354.04854867,1281.203
2458354.85959876,2458354.86579503,535.358
2458354.96467204,2458354.97766114,1122.258
2458355.07231433,2458355.08775695,1334.243
2458355.87413537,2458355.88240335,714.353
2458355.97725212,2458355.99059931,1153.197
2458356.08220907,2458356.09788060,1354.020
2458356.86155113,2458356.86751362,515.159
2458356.96151487,2458356.97424724,1100.077
2458357.06332681,2458357.07879419,1336.382
2458357.17152780,2458357.17844410,597.568
2458357.91762328,2458357.92873653,960.185
2458358.01593756,2458358.03013498,1226.657
2458358.11536958,2458358.13097449,1348.264
2458358.84681014,2458358.84975348,254.305
2458358.94046117,2458358.95219994,1014.230
2458359.03596081,2458359.05039466,1247.085
2458359.13250227,2458359.14751770,1297.334
2458359.92888767,2458359.93900457,874.100
2458360.02109706,2458360.03479747,1183.715
2458360.11414617,2458360.12892320,1276.736
2458360.88263233,2458360.88852312,508.964
2458360.97111594,2458360.98262251,994.168
2458361.06027051,2458361.07416952,1200.874
2458361.15056399,2458361.16346992,1115.072
2458361.88585444,2458361.89117041,459.301
2458361.97090323,2458361.98070913,847.230
2458362.05647213,2458362.06955340,1130.222
2458362.14315672,2458362.15510382,1032.229
2458362.84596027,2458362.84777389,156.696
2458362.92660586,2458362.93288471,542.492
2458363.00806341,2458363.01738725,805.580
2458363.09011165,2458363.10076708,920.629
2458363.17478338,2458363.18071658,512.628
2458363.91255555,2458363.91699976,383.980
2458363.98957133,2458363.99600165,555.580
2458364.06709955,2458364.07376287,575.710
2458364.90657020,2458364.90923521,230.257
2458364.97782940,2458364.98089235,264.638

