"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458273.26603204,2458273.27516662,789.227
2458275.26018582,2458275.26938147,794.503
2458278.19567688,2458278.20464005,774.418
2458279.22781731,2458279.23727457,817.108
2458280.22455796,2458280.23405211,820.294
2458281.18727536,2458281.19634412,783.541
2458283.31583710,2458283.32283264,604.415
2458284.16762386,2458284.17642870,760.738
2458285.26625802,2458285.27508685,762.811
2458286.31144292,2458286.31819251,583.164
2458287.30384575,2458287.31088184,607.918
2458288.24702447,2458288.25630412,801.763
2458289.14702179,2458289.15603732,778.941
2458290.22240807,2458290.23227541,852.538
2458291.24039419,2458291.24979917,812.591
2458292.20405308,2458292.21433953,888.749
2458293.12021808,2458293.12896966,756.137
2458293.30624986,2458293.31141330,446.122
2458294.16398862,2458294.17479486,933.659
2458295.14876100,2458295.15969708,944.876
2458296.23483500,2458296.24420739,809.775
2458297.10258431,2458297.11285457,887.350
2458297.25035387,2458297.25877110,727.249
2458298.19936971,2458298.21015768,932.081
2458299.08887977,2458299.10056094,1009.253
2458299.21909199,2458299.22896949,853.416
2458300.04738310,2458300.05066963,283.957
2458300.16482415,2458300.17709894,1060.542
2458301.04367063,2458301.05508451,986.160
2458301.15652136,2458301.16934566,1108.020
2458301.27290000,2458301.27360513,60.923
2458302.06738406,2458302.08359463,1400.593
2458302.17354698,2458302.18566143,1046.688
2458302.89720312,2458302.91051424,1150.080
2458302.99830588,2458303.01703220,1617.954
2458303.09703883,2458303.11289033,1369.569
2458303.19390436,2458303.20435613,903.033
2458303.75455983,2458303.76232460,670.876
2458303.83971761,2458303.85770067,1553.736
2458303.92877621,2458303.94938297,1780.425
2458304.01769803,2458304.03608666,1588.777
2458304.10493828,2458304.11972489,1277.563
2458304.19254053,2458304.20002723,646.851
2458304.83456389,2458304.84401131,816.257
2458304.90752389,2458304.91777034,885.293
2458304.97993700,2458304.98882295,767.746
2458305.05092733,2458305.05689937,515.984

