"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458272.00968145,2458272.01874983,783.509
2458272.80024443,2458272.80758197,633.963
2458273.92065693,2458273.93235639,1010.834
2458274.96351882,2458274.97422119,924.685
2458275.93274951,2458275.94431189,998.989
2458276.83793040,2458276.84977692,1023.540
2458277.97062263,2458277.98099739,896.380
2458279.01798050,2458279.02405863,525.150
2458279.98642018,2458279.99590984,819.907
2458280.89009951,2458280.90295635,1110.831
2458281.95391537,2458281.96487471,946.887
2458282.74513379,2458282.75057485,470.107
2458282.93976720,2458282.95131312,997.568
2458283.85724519,2458283.87119489,1205.254
2458284.89071003,2458284.90412422,1158.985
2458285.84695064,2458285.86166507,1271.327
2458286.73727314,2458286.75016454,1113.817
2458286.88632972,2458286.90021217,1199.444
2458287.70684249,2458287.71624517,812.392
2458287.84167001,2458287.85726048,1347.017
2458287.98582374,2458287.98988934,351.268
2458288.72264697,2458288.73935229,1443.340
2458288.85164502,2458288.86728115,1350.961
2458289.65891065,2458289.66654890,659.945
2458289.77251662,2458289.79129533,1622.480
2458289.89250244,2458289.90650368,1209.707
2458290.61231131,2458290.62687214,1258.055
2458290.72170085,2458290.74339090,1874.020
2458290.83239892,2458290.84944389,1472.686
2458290.94341864,2458290.95115510,668.430

