"Access","Start Time (EpSec)","Stop Time (EpSec)","Duration (sec)"
1,146527.873,147166.488,638.616
2,218582.481,219129.012,546.531
3,393591.164,394327.017,735.853
4,658465.476,659251.106,785.630
5,907301.696,907517.121,215.425
6,996648.632,997377.805,729.174
7,1084231.450,1085012.375,780.924
8,1169798.595,1170561.975,763.381
9,1253417.764,1254016.880,599.116
10,1441345.020,1441843.512,498.493
11,1518191.048,1519010.747,819.700
12,1692324.896,1693129.549,804.653
13,1858315.571,1859039.562,723.991
14,1950106.600,1950924.522,817.923
15,2039696.584,2040435.913,739.329
16,2127001.857,2127696.981,695.124
17,2212053.045,2212790.757,737.712
18,2294919.128,2295738.871,819.743
19,2375789.663,2376533.360,743.697
20,2474760.060,2475257.804,497.745
21,2550855.789,2551685.126,829.337
22,2644350.160,2645016.489,666.329
23,2735045.568,2735282.537,236.968
24,2804932.960,2805380.889,447.929
25,2890827.624,2891060.512,232.889
26,2991001.989,2991513.413,511.423
27,3071447.982,3072245.766,797.784
28,3150063.472,3150541.950,478.478
29,3241849.498,3242679.707,830.209
30,3331068.973,3331817.092,748.119
31,3417530.399,3418259.048,728.649
32,3501311.636,3502115.828,804.191
33,3582651.832,3583404.090,752.258
34,3674914.189,3675663.821,749.632
35,3764092.854,3764655.185,562.331
36,3850098.338,3850649.697,551.359
37,3933058.836,3933787.512,728.676
38,4013326.199,4013969.271,643.073
39,4025359.737,4025485.945,126.208
40,4102236.258,4103042.355,806.096
41,4187897.684,4188706.557,808.874
42,4270561.748,4270832.668,270.920
43,4281275.549,4281580.239,304.689
44,4360083.043,4360877.936,794.893
45,4446091.856,4446875.902,784.046
46,4496190.437,4496672.773,482.336
47,4528474.064,4529075.977,601.913
48,4538360.749,4538596.251,235.502
49,4585875.628,4586874.262,998.634
50,4616477.589,4617321.137,843.548
51,4671468.998,4672555.208,1086.211
52,4680586.238,4681775.323,1189.085
53,4700140.583,4701144.047,1003.465
54,4709540.765,4709728.177,187.412
55,4753077.717,4753820.333,742.616
56,4761262.868,4762641.926,1379.058
57,4769976.496,4771497.907,1521.411
58,4779191.770,4780574.016,1382.246
59,4788171.051,4789265.460,1094.409
60,4838447.691,4839136.516,688.825
61,4846126.522,4847434.876,1308.355
62,4854035.121,4855736.213,1701.093
63,4862389.893,4864099.310,1709.416
64,4870824.863,4872261.161,1436.298
65,4879317.993,4879807.151,489.158
66,4926085.687,4926905.895,820.209
67,4933329.244,4934638.006,1308.763
68,4940721.897,4942322.802,1600.905
69,4948206.541,4949979.199,1772.658
70,4955895.611,4957387.610,1491.999
71,4963680.526,4964349.204,668.678
72,5014235.943,5014942.391,706.448
73,5020930.344,5022029.964,1099.620
74,5027697.809,5028966.846,1269.037
75,5034483.412,5035758.756,1275.344
76,5041300.354,5042354.055,1053.701

