"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458271.98886927,2458272.01428844,2196.217
2458272.84043106,2458272.86585507,2196.635
2458274.92620398,2458274.95343716,2352.947
2458275.73861205,2458275.75100984,1071.169
2458276.92629561,2458276.95366085,2364.357
2458277.70928225,2458277.71490000,485.374
2458278.84307078,2458278.87024311,2347.689
2458279.96448299,2458279.99081512,2275.096
2458280.69742515,2458280.70179576,377.621
2458281.06872480,2458281.08254288,1193.881
2458281.76349719,2458281.78464007,1826.745
2458282.81339637,2458282.84021409,2317.051
2458283.84482060,2458283.87324008,2455.443
2458284.85724262,2458284.88605641,2489.512
2458285.85115699,2458285.88008231,2499.148
2458286.82746704,2458286.85607694,2471.895
2458287.78754966,2458287.81420575,2303.086
2458288.73379210,2458288.75389095,1736.540
2458289.06863889,2458289.07690299,714.019
2458289.66989890,2458289.67264015,236.844
2458289.97329790,2458289.99912310,2231.297
2458290.87234851,2458290.90201201,2562.926
2458291.76017541,2458291.78593588,2225.705
2458292.92896775,2458292.95699931,2421.927
2458293.77677449,2458293.80506151,2443.999
2458294.89965349,2458294.92901850,2537.136
2458295.51815788,2458295.51885857,60.540
2458295.71944164,2458295.74157506,1912.327
2458296.00188314,2458296.02556983,2046.530
2458296.79463889,2458296.82511868,2633.454
2458297.85349144,2458297.88458120,2686.155
2458298.44478363,2458298.44781618,262.013
2458298.64317328,2458298.64410896,80.842
2458298.89244492,2458298.92242180,2590.002
2458299.47024493,2458299.47583097,482.633
2458299.66028412,2458299.66971930,815.200
2458299.91088262,2458299.94007082,2521.860
2458300.47775291,2458300.48426155,562.346
2458300.66219493,2458300.67338541,966.858
2458300.90916880,2458300.93849325,2533.633
2458301.46674976,2458301.47410336,635.351
2458301.64907783,2458301.65618965,614.462
2458301.88782692,2458301.91826457,2629.813
2458302.43857012,2458302.44520411,573.177
2458302.84749801,2458302.87960410,2773.966
2458303.78955126,2458303.82241113,2839.093
2458304.71774238,2458304.74604315,2445.186
2458304.96008222,2458304.98616562,2253.606
2458305.47632036,2458305.48782192,993.734
2458305.63996599,2458305.64798169,692.556
2458305.85946599,2458305.89167750,2783.074
2458306.74508912,2458306.77767049,2815.030
2458306.98305524,2458307.00602685,1984.747
2458307.47818130,2458307.49202553,1196.141
2458307.63304842,2458307.64057883,650.627
2458307.84226289,2458307.87558969,2879.436
2458308.56224618,2458308.56761658,464.003
2458308.69518864,2458308.72356465,2451.687
2458308.91781271,2458308.94693981,2516.581
2458309.40361994,2458309.41379232,878.894
2458309.74415573,2458309.77876014,2989.821
2458309.96890615,2458309.99369624,2141.864
2458310.43928819,2458310.45588464,1433.933
2458310.77403337,2458310.80999568,3107.143
2458311.00726680,2458311.01699197,840.255
2458311.45602640,2458311.47500997,1640.180
2458311.78279613,2458311.81922121,3147.127
2458312.45253692,2458312.47283988,1754.176
2458312.77058083,2458312.80767617,3205.038
2458312.99418012,2458313.00710896,1117.052
2458313.42976772,2458313.44985737,1735.746
2458313.73854263,2458313.77603948,3239.728
2458313.94855899,2458313.97485526,2271.998
2458314.39043414,2458314.40573185,1321.722
2458314.58860604,2458314.59629204,664.071
2458314.68951234,2458314.72433880,3009.006
2458314.89143559,2458314.92282609,2712.139
2458315.51980181,2458315.54403929,2094.118
2458315.63076802,2458315.65140700,1783.208
2458315.81438994,2458315.85138193,3196.108
2458316.43645780,2458316.46201857,2208.451
2458316.71996464,2458316.76001133,3460.035
2458316.91932653,2458316.94828562,2502.066
2458317.52243319,2458317.55122733,2487.813
2458317.62350910,2458317.64615750,1956.821
2458317.79987084,2458317.83862593,3348.440
2458318.40172587,2458318.42603229,2100.074
2458318.58655816,2458318.60519842,1610.518
2458318.66730322,2458318.70691932,3422.831
2458318.85601459,2458318.89088794,3013.058
2458319.44027222,2458319.47183195,2726.761
2458319.62654079,2458319.63169017,444.907
2458319.69621603,2458319.74073914,3846.797
2458319.88637669,2458319.91860928,2784.895
2458320.45645353,2458320.49202124,3073.050
2458320.64063058,2458320.64153884,78.473
2458320.70301824,2458320.74984178,4045.554
2458320.89148839,2458320.92326913,2745.856
2458321.44985415,2458321.48701645,3210.822
2458321.62872255,2458321.64155282,1108.536
2458321.68487980,2458321.73537060,4362.405
2458321.87201736,2458321.90593598,2930.569
2458322.42148222,2458322.45641971,3018.599
2458322.59280446,2458322.69776045,9068.197
2458322.82823569,2458322.86698949,3348.328
2458323.37381456,2458323.40098349,2347.396
2458323.53572154,2458323.63642664,8700.920
2458323.75915132,2458323.80638772,4081.225
2458323.94488836,2458323.96358425,1615.325
2458324.45999017,2458324.50759702,4113.232
2458324.62743539,2458324.72351951,8301.668
2458324.84629761,2458324.88375935,3236.694
2458325.36899411,2458325.39838119,2539.044
2458325.52344464,2458325.61586083,7984.759
2458325.72237851,2458325.78015921,4992.252
2458325.90267992,2458325.93291873,2612.633
2458326.40683854,2458326.44652104,3428.568
2458326.56160921,2458326.65209033,7817.569
2458326.75803814,2458326.80989616,4480.532
2458326.94010643,2458326.95530972,1313.564
2458327.42153910,2458327.46666549,3898.921
2458327.57388278,2458327.66096107,7523.564
2458327.76184026,2458327.81457906,4556.632
2458327.94476348,2458327.95485657,872.043
2458328.41258398,2458328.45713879,3849.536
2458328.56064636,2458328.64390614,7193.645
2458328.73026589,2458328.79519544,5609.913
2458328.91232974,2458328.93566453,2016.126
2458329.38099672,2458329.41921663,3302.201
2458329.52325749,2458329.60088651,6707.147
2458329.67642938,2458329.75196486,6526.266
2458329.85512029,2458329.89272880,3249.375
2458330.33126986,2458330.34581801,1256.960
2458330.46354791,2458330.53004809,5745.616
2458330.60781166,2458330.68417305,6597.623
2458330.76981843,2458330.82570791,4828.851
2458331.38371447,2458331.42486057,3555.023
2458331.51940759,2458331.58935937,6043.834
2458331.66379062,2458331.73409977,6074.711
2458331.82508161,2458331.86902566,3796.766
2458332.41296239,2458332.46160979,4203.135
2458332.54688255,2458332.61508616,5892.792
2458332.68916081,2458332.75414987,5615.055
2458332.84716127,2458332.88415506,3196.264
2458333.41516271,2458333.46116006,3974.171
2458333.54563806,2458333.61008426,5568.152
2458333.68347541,2458333.74582432,5386.946
2458333.83487230,2458333.87283339,3279.838
2458334.39060886,2458334.42746406,3184.289
2458334.51636469,2458334.57489404,5056.936
2458334.64815973,2458334.70945862,5296.224
2458334.78985447,2458334.83519386,3917.323
2458335.34111085,2458335.36039080,1665.787
2458335.46048450,2458335.50843387,4142.825
2458335.58563443,2458335.64417103,5057.562
2458335.71726930,2458335.77016246,4569.969
2458335.86273224,2458335.88758607,2147.371
2458336.37996305,2458336.40905241,2513.320
2458336.49821478,2458336.54743291,4252.447
2458336.62102385,2458336.67599981,4749.922
2458336.75037940,2458336.79630949,3968.360
2458337.38797190,2458337.41642523,2458.367
2458337.50297477,2458337.54894943,3972.211
2458337.62192315,2458337.67320061,4430.372
2458337.74655035,2458337.78984002,3740.227
2458338.36466380,2458338.38596048,1840.033
2458338.47516226,2458338.51441865,3391.751
2458338.58915187,2458338.63641339,4083.396
2458338.70730020,2458338.75118998,3792.077
2458338.83506522,2458338.85850977,2025.609
2458339.31368680,2458339.31686836,274.887
2458339.41598105,2458339.44401259,2421.925
2458339.52440843,2458339.56463498,3475.574
2458339.63573057,2458339.67924241,3759.422
2458339.75164872,2458339.78754976,3101.850
2458340.32819032,2458340.33794770,843.037
2458340.42954050,2458340.45649762,2329.094
2458340.53436957,2458340.57137373,3197.160
2458340.64163724,2458340.68109466,3409.121
2458340.75308171,2458340.78507161,2763.928
2458341.40482209,2458341.42588587,1819.911
2458341.50507126,2458341.53614999,2685.202
2458341.60724988,2458341.64272263,3064.845
2458341.71220114,2458341.74427748,2771.396
2458341.82627750,2458341.83790206,1004.362
2458342.34276500,2458342.35323004,904.180
2458342.43726050,2458342.45898905,1877.347
2458342.53385572,2458342.56279073,2499.985
2458342.63202262,2458342.66312008,2686.820
2458342.73312351,2458342.75884473,2222.313
2458343.33278261,2458343.34011382,633.417
2458343.42259495,2458343.44000915,1504.587
2458343.51443601,2458343.53823332,2056.087
2458343.60743307,2458343.63397530,2293.249
2458343.70242405,2458343.72591914,2029.976
2458344.35998965,2458344.36928793,803.371
2458344.44601395,2458344.46199160,1380.469
2458344.53314077,2458344.55342252,1752.343
2458344.62113954,2458344.64256477,1851.140
2458344.71120395,2458344.72814679,1463.861
2458345.32865232,2458345.33187973,278.848
2458345.40812915,2458345.41857594,902.603
2458345.48928557,2458345.50342534,1221.676
2458345.57092645,2458345.58681912,1373.127
2458345.65347201,2458345.66775198,1233.789
2458346.37641047,2458346.38167034,454.453
2458346.45012594,2458346.45808960,688.061
2458346.52407543,2458346.53304046,774.579
2458346.59824788,2458346.60599874,669.675

