"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458273.73461315,2458273.73824130,313.473
2458276.67127784,2458276.67674714,472.547
2458278.72159770,2458278.72506015,299.156
2458280.72683716,2458280.72948493,228.768
2458282.68498843,2458282.68955071,394.181
2458284.60000464,2458284.60392465,338.689
2458287.59291348,2458287.59626430,289.511
2458288.69883945,2458288.70161522,239.826
2458291.58749487,2458291.59061224,269.341
2458292.65582703,2458292.66006332,366.016
2458307.63134523,2458307.63311614,153.006
2458401.84526097,2458401.84973136,386.241
2458402.79623021,2458402.80041597,361.650
2458404.87702903,2458404.87945986,210.024
2458405.80801993,2458405.81350690,474.074
2458406.73827062,2458406.73880068,45.798
2458407.84730199,2458407.85350263,535.735
2458408.76306121,2458408.76724273,361.283
2458409.85963220,2458409.86556550,512.637
2458410.76233989,2458410.76701751,404.146
2458411.84367188,2458411.85049258,589.309
2458412.73534854,2458412.73869554,289.181
2458413.80124502,2458413.80783305,569.206
2458414.86106978,2458414.86770868,573.601
2458415.73349828,2458415.73761987,356.105
2458416.77797499,2458416.78428164,544.894
2458417.81578956,2458417.82294276,618.036
2458418.84643143,2458418.85372619,630.267
2458419.87013962,2458419.87671676,568.265
2458420.71258197,2458420.71638054,328.196
2458420.88705835,2458420.89205865,432.026
2458421.72178933,2458421.72647986,405.261
2458421.89646196,2458421.90006010,310.879
2458422.72411998,2458422.72910055,430.321
2458422.89783424,2458422.90130236,299.646
2458423.71939239,2458423.72428431,422.662
2458423.89111883,2458423.89589838,412.954
2458424.70770023,2458424.71201442,372.746
2458424.87689516,2458424.88333268,556.202
2458425.85600894,2458425.86334720,634.026
2458426.82845036,2458426.83591796,645.201
2458427.79400748,2458427.80116068,618.036
2458428.75288737,2458428.75928430,552.695
2458429.70551352,2458429.71006947,393.634
2458429.86893206,2458429.87589063,601.221
2458430.81307786,2458430.82040320,632.909
2458431.75109962,2458431.75750921,553.789
2458432.68381372,2458432.68558006,152.612
2458432.84327198,2458432.85050898,625.277
2458433.76747538,2458433.77417142,578.538
2458434.68638654,2458434.68892550,219.366
2458434.84408746,2458434.85115825,610.916
2458435.75500015,2458435.76145070,557.328
2458436.81621193,2458436.82323343,606.658
2458437.71439411,2458437.71952636,443.427
2458437.86968039,2458437.87565980,516.621
2458438.76047377,2458438.76689985,555.213
2458439.79888105,2458439.80558294,579.043
2458440.67802599,2458440.68004981,174.858
2458440.82965405,2458440.83612103,558.747
2458441.70179653,2458441.70550898,320.756
2458441.85289308,2458441.85862381,495.135
2458442.71829874,2458442.72300140,406.309
2458442.86869854,2458442.87332170,399.441
2458443.72753282,2458443.73267835,444.575
2458443.87716827,2458443.88056909,293.831
2458444.72962253,2458444.73467542,436.570
2458444.87847631,2458444.88097956,216.282
2458445.72471414,2458445.72919972,387.554
2458445.87254479,2458445.87529850,237.921
2458446.71295705,2458446.71651307,307.240
2458446.85972960,2458446.86320067,299.901
2458447.69449632,2458447.69689787,207.494
2458447.84013387,2458447.84433517,362.992
2458448.66948980,2458448.67059841,95.784
2458448.81393181,2458448.81866446,408.902
2458449.49013563,2458449.49315526,260.895
2458449.78128206,2458449.78625125,429.338
2458450.45375940,2458450.45575472,172.395
2458450.74231504,2458450.74587878,307.907
2458451.55268338,2458451.55532700,228.409
2458451.69715889,2458451.69835349,103.213
2458451.83990994,2458451.84161016,146.899
2458452.49986790,2458452.50464670,412.888
2458452.78695694,2458452.79051309,307.251
2458453.44385684,2458453.44740272,306.364
2458453.58582979,2458453.58792436,180.971
2458454.51880274,2458454.52424043,469.816
2458455.44937222,2458455.45418916,416.184
2458455.59010594,2458455.59246494,203.818
2458456.51028584,2458456.51612852,504.808
2458457.42861361,2458457.43345684,418.455
2458457.56611765,2458457.57004611,339.418
2458458.47513950,2458458.48134945,536.540
2458458.61480617,2458458.61617454,118.227
2458459.51531873,2458459.52159147,541.965
2458460.41512458,2458460.42061021,473.959
2458460.54895212,2458460.55452329,481.349
2458461.44113452,2458461.44772857,569.726
2458461.57633340,2458461.58032037,344.474
2458462.46076862,2458462.46772891,601.370
2458462.59633883,2458462.59907410,236.327
2458463.47370360,2458463.48079651,612.827
2458463.60926445,2458463.61082779,135.073
2458464.47987510,2458464.48705424,620.278
2458465.47929590,2458465.48659206,630.388
2458466.47200887,2458466.47947835,645.363
2458466.60508458,2458466.60665803,135.947
2458467.45807910,2458467.46576330,663.915
2458467.58925052,2458467.59257939,287.615
2458468.43761342,2458468.44547904,679.589
2458468.56644972,2458468.57188307,469.441
2458469.41083916,2458469.41863641,673.683
2458469.53810416,2458469.54464196,564.866
2458470.37849362,2458470.38406667,481.511
2458470.50359905,2458470.51090187,630.964
2458471.46268875,2458471.47069198,691.479
2458471.59090470,2458471.59348508,222.945
2458472.41575135,2458472.42400727,713.312
2458472.54094677,2458472.54735991,554.095
2458473.36500136,2458473.36770274,233.399
2458473.48648052,2458473.49421267,668.058
2458474.42607759,2458474.43454049,731.195
2458474.54998394,2458474.55593964,514.573
2458475.36308690,2458475.36410453,87.923
2458475.48232813,2458475.49017774,678.207
2458476.40920152,2458476.41758109,723.995
2458476.53135273,2458476.53780839,557.769
2458477.45095797,2458477.45936128,726.045
2458477.57306576,2458477.57692199,333.178
2458478.36769751,2458478.37038003,231.770
2458478.48573750,2458478.49345273,666.596
2458479.39384609,2458479.40087456,607.259
2458479.51334209,2458479.52010577,584.382
2458480.41431729,2458480.42247142,704.517
2458480.53379457,2458480.53943363,487.215
2458481.42797461,2458481.43644272,731.644
2458481.54714656,2458481.55157863,382.931
2458482.43468137,2458482.44309852,727.241
2458482.55343626,2458482.55677887,288.802
2458483.43445749,2458483.44259263,702.876
2458483.55268314,2458483.55542598,236.981
2458484.42740227,2458484.43498770,655.381
2458484.54490285,2458484.54779681,250.038
2458485.41373561,2458485.42020665,559.098
2458485.53014486,2458485.53378334,314.364
2458486.39423686,2458486.39758458,289.242
2458486.50853207,2458486.51323355,406.208
2458487.48027826,2458487.48610247,503.212
2458488.44578192,2458488.45110813,460.184
2458503.97681870,2458503.97938192,221.462
2458504.94097162,2458504.94348639,217.276
2458505.04315735,2458505.04770430,392.856
2458505.99810274,2458506.00531852,623.443
2458506.94895668,2458506.95509600,530.437
2458507.04968309,2458507.05683214,617.678
2458507.89632474,2458507.89736186,89.607
2458507.99110299,2458507.99971088,743.721
2458508.09481500,2458508.09879779,344.113
2458508.92912259,2458508.93506527,513.447
2458509.02625148,2458509.03550731,799.704
2458509.95585691,2458509.96357780,667.085
2458510.05366543,2458510.06277113,786.733
2458510.97489874,2458510.98346262,739.919
2458511.07275893,2458511.08158449,762.528
2458511.89234872,2458511.89686515,390.220
2458511.98590429,2458511.99482599,770.834
2458512.08325883,2458512.09198654,754.074
2458512.89544594,2458512.90069519,453.535
2458512.98870400,2458512.99767318,774.937
2458513.08502668,2458513.09398885,774.332
2458513.89068370,2458513.89533664,402.014
2458513.98320262,2458513.99197948,758.321
2458514.07807527,2458514.08754522,818.203
2458514.87807742,2458514.88065853,223.008
2458514.96935053,2458514.97771852,722.994
2458515.06275431,2458515.07256312,847.481
2458515.94713694,2458515.95487636,668.686
2458516.03951943,2458516.04895663,815.374
2458516.13620048,2458516.14017587,343.474
2458516.91660840,2458516.92316015,566.070
2458517.00785914,2458517.01668841,762.848
2458517.10058120,2458517.10889026,717.902
2458517.87807220,2458517.88105923,258.079
2458517.96781200,2458517.97578201,688.609
2458518.05887888,2458518.06779374,770.244
2458518.91946366,2458518.92535708,509.192
2458519.00928213,2458519.01764405,722.469
2458519.10007438,2458519.10765580,655.035
2458519.86354688,2458519.86462206,92.896
2458519.95140671,2458519.95853351,615.755
2458520.04078277,2458520.04892055,703.104
2458520.88544289,2458520.88859254,272.130
2458520.97338070,2458520.98080750,641.675
2458521.06225619,2458521.06961037,635.401
2458521.89789551,2458521.90140673,303.369
2458521.98527990,2458521.99243147,617.895
2458522.07365836,2458522.07988763,538.209
2458522.90036222,2458522.90358232,278.217
2458522.98706113,2458522.99331330,540.188
2458523.07493075,2458523.08002981,440.559
2458523.89275497,2458523.89524723,215.331
2458523.97869110,2458523.98366922,430.110
2458524.06601801,2458524.07025281,365.887
2458524.87506539,2458524.87646810,121.194
2458524.96014013,2458524.96363366,301.841
2458525.04696220,2458525.04937775,208.704
2458525.93139671,2458525.93327997,162.714
2458528.78134183,2458528.78194862,52.427
2458529.70872127,2458529.71113612,208.643
2458529.79088749,2458529.79203528,99.169
2458530.62573499,2458530.62815962,209.488
2458530.70603964,2458530.70946674,296.102
2458530.78754010,2458530.78914692,138.829
2458531.61038819,2458531.61444228,350.273
2458531.69008255,2458531.69443679,376.206
2458531.77068552,2458531.77312086,210.413
2458532.58181111,2458532.58646880,402.424
2458532.66027782,2458532.66565891,464.926
2458532.73982435,2458532.74346536,314.583
2458533.53981324,2458533.54335342,305.872
2458533.61615975,2458533.62246757,544.996
2458533.69439734,2458533.69951697,442.336
2458533.77310111,2458533.77559417,215.400
2458534.55751830,2458534.56378228,541.208
2458534.63385237,2458534.64040509,566.155
2458534.71107775,2458534.71589646,416.336
2458534.78923105,2458534.78982322,51.164
2458535.55795677,2458535.56478964,590.360
2458535.63315879,2458535.63982001,575.530
2458535.70904453,2458535.71389327,418.931
2458536.53904214,2458536.54562138,568.446
2458536.61252622,2458536.61931588,586.627
2458536.68675236,2458536.69203665,456.563
2458536.76171339,2458536.76342774,148.121
2458537.49909336,2458537.50379994,406.649
2458537.56999587,2458537.57651831,563.539
2458537.64208567,2458537.64789468,501.898
2458537.71463331,2458537.71837006,322.856
2458538.50292073,2458538.50681313,336.303
2458538.57168641,2458538.57701981,460.806
2458538.64135741,2458538.64603011,403.721
2458538.71162686,2458538.71387201,193.981
