"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458271.57007664,2458271.57855509,732.538
2458273.70488624,2458273.71119620,545.180
2458274.52704556,2458274.53330476,540.795
2458276.53732672,2458276.54488413,652.960
2458277.71360002,2458277.71832801,408.499
2458279.59900094,2458279.60801473,778.791
2458280.70290325,2458280.70783903,426.451
2458283.50353714,2458283.50926136,494.573
2458284.51313615,2458284.52027036,616.396
2458285.50440244,2458285.51084912,556.993
2458288.69350296,2458288.69626959,239.037
2458289.61171316,2458289.62006998,722.029
2458290.51740733,2458290.52561364,709.025
2458292.58467327,2458292.59347142,760.160
2458294.57668375,2458294.58551451,762.978
2458296.49829941,2458296.50601722,666.818
2458297.56983646,2458297.57860455,757.563
2458298.62341216,2458298.63006502,574.807
2458299.65821352,2458299.66135392,271.331
2458302.65754180,2458302.65849127,82.034
2458303.62500222,2458303.63027986,455.988
2458304.57768637,2458304.58544600,670.432
2458305.51690385,2458305.52553959,746.128
2458307.59012317,2458307.59668578,567.009
2458308.48517484,2458308.49277063,656.276
2458309.59466589,2458309.60038207,493.878
2458310.46234309,2458310.46560173,281.547
2458311.53268557,2458311.54066348,689.291
2458312.58890799,2458312.59402293,441.931
2458318.57987399,2458318.58297118,267.597
2458319.52584615,2458319.53201019,532.573
2458321.57164071,2458321.57363561,172.359
2458322.47583143,2458322.47933688,302.871
2458323.55210820,2458323.55456684,212.427
2458339.99154496,2458339.99344523,164.183
2458340.94664897,2458340.94979845,272.115
2458342.02542976,2458342.03037970,427.675
2458342.94693391,2458342.95266869,495.484
2458343.98703754,2458343.99598624,773.168
2458345.00866837,2458345.01887670,882.000
2458346.01151015,2458346.02243349,943.777
2458346.99572211,2458347.00685822,962.160
2458347.96174197,2458347.97192007,879.388
2458348.08981916,2458348.09618573,550.072
2458348.91062247,2458348.91755672,599.119
2458349.03098136,2458349.04369222,1098.218
2458349.95800892,2458349.96874561,927.650
2458350.07836205,2458350.09062765,1059.748
2458350.98359169,2458350.99571725,1047.648
2458351.10343183,2458351.11402399,915.163
2458351.98638514,2458351.99880444,1073.028
2458352.10286223,2458352.11529391,1074.097
2458352.96630709,2458352.97807260,1016.540
2458353.07878740,2458353.09321990,1246.968
2458353.92375886,2458353.93357482,848.099
2458354.03259169,2458354.04660872,1211.072
2458354.14679682,2458354.15622044,814.201
2458354.96395059,2458354.97576006,1020.338
2458355.07097584,2458355.08582267,1282.766
2458355.87544262,2458355.87766931,192.386
2458355.97641679,2458355.98867942,1059.491
2458356.08082815,2458356.09586971,1299.590
2458356.96075071,2458356.97238268,1005.002
2458357.06204838,2458357.07668592,1264.683
2458357.16613962,2458357.17862898,1079.081
2458357.91718537,2458357.92588700,751.821
2458358.01487108,2458358.02811039,1143.876
2458358.11383963,2458358.12897861,1308.008
2458358.93977010,2458358.94966154,854.620
2458359.03480755,2458359.04832989,1168.331
2458359.13088070,2458359.14563641,1274.893
2458359.92824208,2458359.93616228,684.305
2458360.01999896,2458360.03280727,1106.638
2458360.11264207,2458360.12692775,1234.283
2458360.20818144,2458360.21651612,720.116
2458360.88261385,2458360.88561332,259.155
2458360.97019875,2458360.97982864,832.022
2458361.05902332,2458361.07216671,1135.588
2458361.14879517,2458361.16182097,1125.428
2458361.88566809,2458361.88849355,244.120
2458361.96996682,2458361.97813953,706.122
2458362.05523499,2458362.06725969,1038.934
2458362.14140530,2458362.15344989,1040.653
2458362.92585677,2458362.93059064,409.007
2458363.00698441,2458363.01498994,691.677
2458363.08869284,2458363.09847720,845.369
2458363.17226747,2458363.17928031,605.910
2458363.91188731,2458363.91483238,254.454
2458363.98853458,2458363.99387884,461.744
2458364.06574867,2458364.07177122,520.348
2458364.90614325,2458364.90697749,72.078
2458364.97686514,2458364.97898901,183.502

