"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458271.99115613,2458271.99281790,143.576
2458273.24817273,2458273.27430755,2258.048
2458274.05849608,2458274.07848206,1726.789
2458275.24221918,2458275.26867898,2286.127
2458276.00524062,2458276.01564018,898.523
2458277.10604252,2458277.13262326,2296.576
2458278.17612813,2458278.20452542,2453.525
2458279.20983858,2458279.23772226,2409.150
2458280.20695352,2458280.23505785,2428.214
2458281.16875675,2458281.19790705,2518.586
2458282.09790659,2458282.12645552,2466.627
2458283.00191414,2458283.01882860,1461.409
2458283.30306092,2458283.32678270,2049.561
2458284.15051394,2458284.18083228,2619.504
2458284.98152678,2458284.99587374,1239.578
2458285.25449173,2458285.28116867,2304.888
2458286.03246321,2458286.05880597,2276.014
2458286.30546700,2458286.32610016,1782.705
2458287.03766976,2458287.06600060,2447.785
2458287.29885615,2458287.32046981,1867.421
2458287.99813994,2458288.02192601,2055.116
2458288.23960733,2458288.26761234,2419.633
2458288.76393279,2458288.76630699,205.131
2458288.92528713,2458288.92589238,52.294
2458289.13606707,2458289.16933157,2874.053
2458289.99801957,2458290.02612154,2428.010
2458290.21868148,2458290.24844890,2571.905
2458291.02550096,2458291.05958400,2944.775
2458291.24030293,2458291.26894641,2474.797
2458292.00215892,2458292.03641572,2959.787
2458292.20531861,2458292.23665893,2707.803
2458292.83478469,2458292.84614587,981.606
2458292.93696054,2458292.95941790,1940.316
2458293.11717860,2458293.15471586,3243.219
2458293.33044067,2458293.33693172,560.826
2458293.73095077,2458293.73726221,545.308
2458293.98347940,2458294.02386990,3489.739
2458294.16963259,2458294.20459847,3021.053
2458294.74595157,2458294.76042165,1250.214
2458294.91881233,2458294.92332816,390.168
2458294.97588934,2458295.02279043,4052.254
2458295.15698484,2458295.19376161,3177.513
2458295.86595301,2458295.96133879,8241.332
2458296.08106942,2458296.12633794,3911.200
2458296.26177858,2458296.28263920,1802.357
2458296.76345066,2458296.79394487,2634.700
2458296.91800467,2458297.00348335,7385.358
2458297.11255842,2458297.15630349,3779.574
2458297.28844202,2458297.30153923,1131.599
2458297.75540870,2458297.79295554,3244.047
2458297.89842858,2458297.97526073,6638.297
2458298.06690128,2458298.12016929,4602.355
2458298.23497432,2458298.25840938,2024.789
2458298.81613442,2458298.87905334,5436.195
2458298.95519993,2458299.02131161,5712.049
2458299.10859428,2458299.15466315,3980.350
2458299.26743830,2458299.28210525,1267.225
2458299.80413195,2458299.85611794,4491.589
2458299.93174617,2458299.99043654,5070.848
2458300.06927100,2458300.11598868,4036.408
2458300.21353207,2458300.23650640,1984.982
2458300.73026023,2458300.74477858,1254.385
2458300.83888852,2458300.88625395,4092.373
2458300.95848650,2458301.00796451,4274.900
2458301.08501608,2458301.12364790,3337.789
2458301.21503050,2458301.23497710,1723.386
2458301.79396586,2458301.82700424,2854.516
2458301.90112500,2458301.94283832,3604.031
2458302.01308974,2458302.05181607,3345.955
2458302.12880434,2458302.15681655,2420.255
2458302.24572463,2458302.25753018,1020.000
2458302.77349407,2458302.79437817,1804.386
2458302.86973163,2458302.90172489,2764.217
2458302.96973542,2458303.00247339,2828.560
2458303.07217872,2458303.09966885,2375.147
2458303.17566483,2458303.19371774,1559.771
2458303.75677798,2458303.76330722,564.127
2458303.84061546,2458303.86192508,1841.151
2458303.92900527,2458303.95318819,2089.405
2458304.01879003,2458304.04139535,1953.100
2458304.10905590,2458304.12709230,1558.345
2458304.19968199,2458304.20970992,866.413
2458304.78772866,2458304.78978455,177.629
2458304.86045332,2458304.87188472,987.673
2458304.93601484,2458304.94865769,1092.342
2458305.01146047,2458305.02298582,995.790
2458305.08609131,2458305.09495544,765.860
2458305.16061773,2458305.16318631,221.926

