"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458272.00326393,2458272.01215026,767.779
2458274.10342496,2458274.11061230,620.986
2458276.09181010,2458276.09925986,643.660
2458277.97552894,2458277.98429408,757.308
2458279.06539658,2458279.07351604,701.521
2458280.12224064,2458280.12709958,419.812
2458283.10491827,2458283.11055488,487.002
2458284.04398755,2458284.05240672,727.416
2458284.96032773,2458284.96930123,775.311
2458287.02652968,2458287.03523493,752.134
2458288.98450866,2458288.99382659,805.069
2458290.06397726,2458290.07089754,597.912
2458294.06878054,2458294.07450467,494.565
2458294.99776428,2458295.00671564,773.398
2458295.90418667,2458295.91186395,663.318
2458297.01013330,2458297.01852339,724.903
2458298.90964494,2458298.91822388,741.220
2458299.92421338,2458299.93345875,798.800
2458300.91044825,2458300.91931072,765.717
2458302.06645953,2458302.06856370,181.800
2458302.99069585,2458302.99901816,719.047
2458303.89231575,2458303.90050366,707.435
2458304.94794304,2458304.95727489,806.272
2458305.97164681,2458305.98022109,740.818
2458306.96280566,2458306.97153247,753.996
2458307.92303981,2458307.93244523,812.628
2458309.01557000,2458309.02032084,410.473
2458309.91212779,2458309.92146385,806.635
2458310.93416753,2458310.94310917,772.558
2458311.92199081,2458311.93105872,783.467
2458312.87823046,2458312.88622698,690.899
2458313.02148653,2458313.02164129,13.372
2458313.93911286,2458313.94708224,688.555
2458314.96326552,2458314.96914146,507.681
2458315.94987443,2458315.95616684,543.664
2458316.90051464,2458316.90910731,742.406
2458317.93883600,2458317.94455237,493.894
2458318.93480233,2458318.93997508,446.926
2458319.88846053,2458319.89647199,692.190
2458320.44779101,2458320.45141128,312.791
2458320.55922645,2458320.56314114,338.230
2458320.80427413,2458320.80568778,122.140
2458320.91215954,2458320.91776254,484.099
2458321.44633436,2458321.45294559,571.211
2458321.54846499,2458321.56144674,1121.623
2458321.77853129,2458321.78651495,689.788
2458321.88532607,2458321.89299542,662.632
2458322.49461679,2458322.50751096,1114.056
2458322.59403493,2458322.61059115,1430.457
2458322.70164154,2458322.71599161,1239.846
2458322.80738469,2458322.82039814,1124.362
2458322.91311624,2458322.91564365,218.368
2458323.48873118,2458323.50187368,1135.511
2458323.58068930,2458323.59916165,1596.011
2458323.67813814,2458323.69723678,1650.122
2458323.77740247,2458323.79396618,1431.104
2458323.87667721,2458323.88465344,689.146
2458324.42872257,2458324.43624846,650.237
2458324.51293462,2458324.52753554,1261.520
2458324.59963641,2458324.61812691,1597.579
2458324.68829183,2458324.70849136,1745.240
2458324.77924283,2458324.79661213,1500.708
2458324.87140234,2458324.87879553,638.772
2458325.46769356,2458325.47731763,831.520
2458325.54699345,2458325.56144888,1248.949
2458325.62726923,2458325.64372992,1422.203
2458325.70796771,2458325.72415433,1398.524
2458325.78941274,2458325.80207278,1093.827
2458326.48528289,2458326.48979920,390.209
2458326.55522735,2458326.56189614,576.183
2458326.62520976,2458326.63159351,551.556
2458326.69481989,2458326.69825065,296.418

