"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458271.19601718,2458271.23094383,3017.663
2458271.50975974,2458271.58100078,6155.226
2458272.05468797,2458272.10738259,4552.816
2458272.36155261,2458272.44510432,7218.868
2458273.22316646,2458273.29539092,6240.194
2458274.22334488,2458274.24983726,2288.942
2458274.51739497,2458274.58657278,5976.963
2458275.04566532,2458275.10050161,4737.856
2458275.33655427,2458275.42207721,7389.182
2458276.17831094,2458276.24112282,5426.946
2458277.13284528,2458277.18464090,4475.142
2458277.41738515,2458277.49878826,7033.229
2458278.22644370,2458278.30532616,6815.444
2458279.17994541,2458279.22197694,3631.524
2458279.45270519,2458279.53070071,6738.813
2458279.98685652,2458280.02124093,2970.813
2458280.23713005,2458280.32033894,7189.248
2458281.17505177,2458281.21948177,3838.751
2458281.43726011,2458281.51730471,6915.853
2458281.98182688,2458281.99776296,1376.877
2458282.20663831,2458282.28671912,6918.982
2458283.11759004,2458283.17632597,5074.784
2458283.37005535,2458283.45765997,7569.039
2458284.14004745,2458284.20117567,5281.478
2458284.58946150,2458284.60697748,1513.381
2458285.02130901,2458285.08558526,5553.468
2458285.26204661,2458285.35398609,7943.571
2458286.16127696,2458286.21259995,4434.306
2458286.39856411,2458286.48422202,7400.843
2458287.13957060,2458287.20626759,5762.620
2458287.58133165,2458287.59957790,1576.476
2458288.00376004,2458288.06957063,5686.035
2458288.23238458,2458288.32508907,8009.668
2458289.10750609,2458289.17301176,5659.689
2458289.33338527,2458289.42676127,8067.687
2458290.07691239,2458290.10754068,2646.284
2458290.21928905,2458290.25139577,2774.021
2458290.43454989,2458290.51618739,7053.479
2458290.96146460,2458290.96687655,467.592
2458291.14063127,2458291.21518097,6441.094
2458291.57662470,2458291.59377942,1482.168
2458291.98602673,2458292.05439038,5906.620
2458292.20028947,2458292.29376041,8075.889
2458293.04932517,2458293.12527961,6562.464
2458293.25862698,2458293.35848628,8627.844
2458294.10804374,2458294.17841617,6080.178
2458294.31375111,2458294.41162851,8456.607
2458295.15994769,2458295.21742514,4966.052
2458295.36130555,2458295.45402968,8011.365
2458296.06203751,2458296.09847287,3148.015
2458296.20524870,2458296.24599963,3520.881
2458296.39859229,2458296.48625573,7574.122
2458297.08043986,2458297.13648504,4842.303
2458297.24450089,2458297.26625114,1879.221
2458297.42499343,2458297.50885582,7245.710
2458298.09169449,2458298.15789247,5719.506
2458298.27758772,2458298.27924622,143.295
2458298.44085375,2458298.52240769,7046.260
2458298.93980465,2458298.95389678,1217.560
2458299.09628898,2458299.16782475,6180.691
2458299.44678574,2458299.52750214,6973.897
2458299.93485981,2458299.95804076,2002.834
2458300.09467753,2458300.16791439,6327.664
2458300.44338403,2458300.52469172,7024.985
2458300.93337246,2458300.95280073,1678.602
2458301.08735130,2458301.15888540,6180.546
2458301.43112983,2458301.51444980,7198.845
2458301.93621799,2458301.93862881,208.295
2458302.07478259,2458302.14084341,5707.654
2458302.24970917,2458302.26965755,1723.540
2458302.41030770,2458302.49711891,7500.489
2458303.05733148,2458303.11290851,4801.855
2458303.21454337,2458303.25416999,3423.740
2458303.38102608,2458303.47293982,7941.347
2458304.03513909,2458304.07071675,3073.910
2458304.17571821,2458304.23420727,5053.455
2458304.34325465,2458304.44206406,8537.133
2458305.13313701,2458305.20986373,6629.189
2458305.29694782,2458305.40453754,9295.752
2458306.08652051,2458306.18060160,8128.606
2458306.24251969,2458306.36026598,10173.280
2458307.03566289,2458307.14324097,9294.746
2458307.18308642,2458307.30895146,10874.739
2458307.98078911,2458308.08655461,9138.139
2458308.13023111,2458308.24993146,10342.110
2458308.56852369,2458308.57469743,533.411
2458308.92476614,2458309.01057313,7413.724
2458309.08485609,2458309.18160800,8359.366
2458309.44221454,2458309.51380931,6185.788
2458309.91466341,2458309.92632461,1007.528
2458310.03696646,2458310.09833830,5302.527
2458310.19620171,2458310.24973052,4624.889
2458310.34175111,2458310.44311952,8758.231
2458311.10368420,2458311.20954452,9146.332
2458311.23329275,2458311.36476250,11358.987
2458312.01616374,2458312.27839160,22656.486
2458312.93007073,2458313.03745003,9277.571
2458313.06768219,2458313.18201102,9878.010
2458313.42591307,2458313.50467661,6805.170
2458314.01252155,2458314.06395484,4443.836
2458314.16224953,2458314.24049001,6759.977
2458314.29173335,2458314.40835487,10076.099
2458315.04803117,2458315.30435564,22146.434
2458315.94134206,2458316.19079242,21552.511
2458316.44780975,2458316.50629365,5053.008
2458316.90146789,2458316.90973849,714.580
2458317.00155685,2458317.05301411,4445.907
2458317.15146452,2458317.39395082,20950.817
2458318.02171767,2458318.27326127,21733.367
2458318.90311377,2458319.13985220,20454.200
2458319.25030287,2458319.27666214,2277.441
2458319.35528783,2458319.45644333,8739.835
2458320.08099417,2458320.32706205,21260.265
2458320.94441444,2458321.18674842,20937.656
2458321.42313631,2458321.49318613,6052.304
2458321.97385618,2458322.00600312,2777.496
2458322.11558326,2458322.35459296,20650.437
2458322.96370206,2458323.20471872,20823.840
2458323.46449092,2458323.50508290,3507.148
2458323.88047998,2458323.90563284,2173.207
2458323.97249477,2458324.02022222,4123.652
2458324.12233233,2458324.35677936,20256.223
2458324.95856561,2458325.19592360,20507.730
