"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458273.26980647,2458273.27657482,584.786
2458274.08033403,2458274.08367686,288.821
2458275.26399538,2458275.27078695,586.792
2458277.12781650,2458277.13685176,780.646
2458278.19825362,2458278.20711116,765.292
2458279.23137355,2458279.23916991,673.606
2458280.22812755,2458280.23595505,676.296
2458281.18989465,2458281.19883477,772.426
2458282.11853960,2458282.12785739,805.057
2458284.16981924,2458284.17911297,802.978
2458286.05153511,2458286.05574974,364.144
2458287.05534517,2458287.06196794,572.208
2458288.25158546,2458288.25619383,398.163
2458289.14916544,2458289.15888893,840.110
2458290.22690913,2458290.23328921,551.239
2458291.03921364,2458291.04500980,500.788
2458291.24521998,2458291.24910351,335.537
2458292.20856749,2458292.21576906,622.215
2458293.12176848,2458293.13215597,897.479
2458294.16806112,2458294.17709705,780.705
2458295.15265368,2458295.16225582,829.625
2458296.08035640,2458296.09157044,968.893
2458297.10507604,2458297.11621851,962.709
2458298.06368189,2458298.07562165,1031.595
2458298.20507225,2458298.21032678,453.991
2458299.09233873,2458299.10416964,1022.191
2458300.04716617,2458300.06031945,1136.443
2458300.17087979,2458300.17851361,659.562
2458301.04774581,2458301.06153835,1191.676
2458301.16296419,2458301.17077681,675.010
2458301.96734226,2458301.98312571,1363.690
2458302.07406026,2458302.08726203,1140.633
2458302.18150702,2458302.18452225,260.516
2458302.80545271,2458302.81453504,784.714
2458302.90682428,2458302.92472010,1546.199
2458303.00653874,2458303.02292720,1415.962
2458303.10433393,2458303.11567199,979.609
2458303.67126457,2458303.67666522,466.617
2458303.75708131,2458303.77425065,1483.431
2458303.84702525,2458303.86743283,1763.215
2458303.93701211,2458303.95569074,1613.834
2458304.02530100,2458304.04030168,1296.059
2458304.11336608,2458304.12164889,715.636
2458304.69135883,2458304.69545175,353.628
2458304.76408797,2458304.77495330,938.765
2458304.83850326,2458304.85011981,1003.670
2458304.91251171,2458304.92281523,890.224
2458304.98537644,2458304.99296954,656.044

