"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458272.00737972,2458272.01486207,646.475
2458272.85494316,2458272.86227309,633.306
2458274.90732245,2458274.91655870,798.012
2458276.85447343,2458276.86250706,694.105
2458277.97930172,2458277.98726952,688.418
2458284.96433425,2458284.97221611,680.993
2458285.85804261,2458285.86728265,798.340
2458287.87663047,2458287.88618718,825.699
2458288.98968858,2458288.99547122,499.620
2458289.79561436,2458289.79798438,204.769
2458290.84526676,2458290.85461305,807.519
2458291.86791678,2458291.87757145,834.164
2458292.86076453,2458292.87043701,835.702
2458293.82547364,2458293.83450370,780.197
2458295.90656490,2458295.91548881,771.026
2458296.78992389,2458296.79618546,540.999
2458297.86629451,2458297.87600609,839.080
2458298.91315890,2458298.92151126,721.644
2458299.92879618,2458299.93619702,639.432
2458300.91443386,2458300.92241027,689.162
2458301.87170609,2458301.88114645,815.647
2458302.80352924,2458302.81274256,796.031
2458303.89557366,2458303.90391788,720.940
2458304.77403794,2458304.77968814,488.177
2458304.95437814,2458304.95732699,254.781
2458305.80053731,2458305.80998709,816.461
2458306.79701993,2458306.80644959,814.723
2458307.76539255,2458307.76938254,344.735
2458307.92927320,2458307.93380827,391.830
2458308.85847018,2458308.86749377,779.638
2458309.76378507,2458309.76879070,432.486
2458309.91845242,2458309.92301283,394.019
2458310.78838246,2458310.79796407,827.852
2458311.78111457,2458311.79054695,814.958
2458311.92950128,2458311.93039428,77.156
2458312.88343906,2458312.88964132,535.875
2458313.80653462,2458313.81628720,842.624
2458314.83484031,2458314.84340599,740.075
2458315.82598365,2458315.83465660,749.343
2458316.78141856,2458316.79134020,857.230
2458317.82384440,2458317.83179677,687.085
2458318.82428841,2458318.83163025,634.335
2458319.78267671,2458319.79247992,846.997
2458320.34496013,2458320.34997260,433.078
2458320.45584969,2458320.46229490,556.866
2458320.70167315,2458320.70758193,510.519
2458320.81106208,2458320.81821387,617.914
2458321.34799664,2458321.35585787,679.210
2458321.45102338,2458321.46459237,1172.361
2458321.68228462,2458321.69226242,862.081
2458321.78946100,2458321.79821991,756.770
2458322.30803155,2458322.31106310,261.926
2458322.40156069,2458322.41549058,1203.542
2458322.50244910,2458322.51915867,1443.707
2458322.61144027,2458322.62599304,1257.359
2458322.71708414,2458322.73080331,1185.336
2458322.82232291,2458322.82538404,264.481
2458323.31151644,2458323.31685262,461.046
2458323.40068875,2458323.41511232,1246.196
2458323.49380971,2458323.51311582,1668.048
2458323.59306559,2458323.61225926,1658.333
2458323.69291526,2458323.70941489,1425.568
2458323.79253537,2458323.79937422,590.876
2458324.34479185,2458324.35523287,902.104
2458324.43073645,2458324.44664088,1374.143
2458324.51845651,2458324.53807620,1695.142
2458324.60893749,2458324.62920287,1750.929
2458324.70079040,2458324.71708262,1407.648
2458324.79401425,2458324.79846600,384.632
2458325.39109861,2458325.40347852,1069.624
2458325.47170920,2458325.48784634,1394.249
2458325.55301010,2458325.57058222,1518.231
2458325.63472810,2458325.65128412,1430.440
2458325.71755145,2458325.72915421,1002.479
2458326.34710207,2458326.34978521,231.823
2458326.41770995,2458326.42519673,646.858
2458326.48938280,2458326.49791587,737.257
2458326.56076407,2458326.56874421,689.485
2458326.63184852,2458326.63694751,440.553

