"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458272.01322249,2458272.01453903,113.749
2458274.95166423,2458274.95565263,344.598
2458276.95197480,2458276.95573442,324.830
2458279.99012910,2458279.99109079,83.091
2458284.88581368,2458284.88829137,214.073
2458285.88032242,2458285.88190494,136.729
2458290.90155446,2458290.90422186,230.464
2458342.34812099,2458342.35345113,460.525
2458343.24652400,2458343.24820137,144.924
2458343.33611106,2458343.34383520,667.365
2458343.43291509,2458343.43585217,253.764
2458344.27795883,2458344.28365597,492.233
2458344.36404915,2458344.37318901,789.684
2458344.45485529,2458344.46090872,523.016
2458345.25236331,2458345.25435328,171.933
2458345.33155169,2458345.33965620,700.230
2458345.41307818,2458345.42272481,833.468
2458345.49799111,2458345.50368952,492.342
