"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458271.51666296,2458271.54272307,2251.593
2458272.00394967,2458272.01453906,914.923
2458272.49630236,2458272.52504044,2482.970
2458272.80002953,2458272.86995876,6041.886
2458273.63667057,2458273.70526765,5926.788
2458274.90097762,2458274.95565260,4723.918
2458275.41464849,2458275.44248363,2404.956
2458275.68399819,2458275.75863135,6448.306
2458276.49618176,2458276.52127538,2168.089
2458276.91144570,2458276.95573439,3826.543
2458277.40094458,2458277.42712938,2262.367
2458277.64945272,2458277.72442661,6477.744
2458278.55825542,2458278.58055846,1926.983
2458278.80173483,2458278.87398870,6242.735
2458279.54445711,2458279.60253498,5017.928
2458279.97842473,2458279.99109081,1094.350
2458280.40698892,2458280.44349159,3153.831
2458280.63371408,2458280.71179772,6746.427
2458281.48870868,2458281.52959116,3532.246
2458281.70957410,2458281.79042069,6985.146
2458282.55884010,2458282.58597162,2344.164
2458282.76673855,2458282.84444251,6713.622
2458283.46610266,2458283.49033835,2093.964
2458283.61201347,2458283.62020179,707.471
2458283.80205901,2458283.87670247,6449.195
2458284.47995065,2458284.52049014,3502.611
2458284.81566490,2458284.88919743,6353.210
2458285.47853997,2458285.52152691,3714.072
2458285.80848865,2458285.88330138,6463.819
2458286.46285038,2458286.49741199,2986.123
2458286.61327842,2458286.62467093,984.313
2458286.78114999,2458286.85976955,6792.730
2458287.56461556,2458287.59750296,2841.471
2458287.73399297,2458287.81883323,7330.198
2458288.50267405,2458288.55504909,4525.203
2458288.66830173,2458288.76030606,7949.173
2458289.42969310,2458289.49180942,5366.850
2458289.58973716,2458289.68343193,8095.228
2458290.35760970,2458290.39957170,3625.517
2458290.50852947,2458290.58548081,6648.596
2458290.83006160,2458290.90441916,6424.493
2458291.42387465,2458291.43546509,1001.414
2458291.55921588,2458291.60431781,3896.807
2458291.69592786,2458291.79113461,8225.863
2458292.42236263,2458292.49885296,6608.765
2458292.55338192,2458292.65813213,9050.418
2458292.94204146,2458292.95690776,1284.448
2458293.44101514,2458293.49307016,4497.553
2458293.59846517,2458293.63360588,3036.158
2458293.71308011,2458293.80964225,8342.969
2458294.41652365,2458294.64072672,19371.145
2458294.90160021,2458294.93016109,2467.660
2458295.53406767,2458295.74801693,18485.216
2458296.34451756,2458296.42033234,6550.397
2458296.44301547,2458296.53925480,8315.079
2458296.65249125,2458296.66888894,1416.760
2458296.72956126,2458296.82904823,8595.674
2458297.40272183,2458297.61043361,17946.298
2458297.81869346,2458297.88692928,5895.575
2458298.45085102,2458298.65580363,17707.906
2458298.89604134,2458298.92328519,2353.869
2458299.47990086,2458299.67937895,17234.907
2458299.92408965,2458299.93954708,1335.522
2458300.48831345,2458300.68271347,16796.161
2458300.92277428,2458300.93781077,1299.153
2458301.47609349,2458301.66653647,16454.274
2458301.89306206,2458301.91883104,2226.439
2458302.44458783,2458302.63098386,16104.617
2458302.82558172,2458302.88164873,4844.190
2458303.39607222,2458303.57530463,15485.680
2458303.70062712,2458303.82601870,10833.833
2458304.33562106,2458304.49584322,13843.195
2458304.58949358,2458304.75184351,14027.034
2458305.48667840,2458305.65845158,14841.203
2458305.85493942,2458305.89289650,3279.492
2458306.37929900,2458306.54261792,14110.755
2458306.64383956,2458306.78236376,11968.491
2458307.32443553,2458307.36147415,3200.137
2458307.48863973,2458307.65135374,14058.491
2458307.83048207,2458307.87719969,4036.402
2458308.34614714,2458308.49323513,12708.402
2458308.58309783,2458308.72996723,12689.515
2458309.40612911,2458309.55901953,13209.732
2458309.66229993,2458309.78324973,10450.062
2458310.44626047,2458310.59677037,13004.055
2458310.71843224,2458310.81347620,8211.798
2458311.46443095,2458311.61087173,12652.484
2458311.73901637,2458311.82233530,7198.755
2458312.46065364,2458312.60311818,12308.937
2458312.72311467,2458312.81106837,7599.199
2458313.43608736,2458313.57420720,11933.554
2458313.67727145,2458313.78035645,8906.544
2458314.39264421,2458314.52360688,11315.174
2458314.61171868,2458314.73038427,10252.707
2458315.33305693,2458315.44752871,9890.362
2458315.53332084,2458315.66079880,11014.095
2458315.80553173,2458315.85282861,4086.451
2458316.28764690,2458316.30124628,1174.986
2458316.44338123,2458316.57005309,10944.449
2458316.66677839,2458316.76464671,8455.823
2458317.34234889,2458317.45183116,9459.268
2458317.53581574,2458317.65570981,10358.847
2458317.78929156,2458317.84031159,4408.130
2458318.40614915,2458318.52264566,10065.299
2458318.60716664,2458318.71341440,9179.807
2458318.87349269,2458318.88777799,1234.251
2458319.27712056,2458319.33668418,5146.296
2458319.44742381,2458319.56249613,9942.249
2458319.65292432,2458319.74583851,8027.786
2458320.29214620,2458320.36684615,6454.075
2458320.46455561,2458320.57609938,9637.382
2458320.66848480,2458320.75452179,7433.596
2458321.28919447,2458321.35854464,5991.855
2458321.45750779,2458321.56512256,9297.916
2458321.65356146,2458321.74051214,7512.539
2458322.26873550,2458322.31225876,3760.410
2458322.42748945,2458322.52997275,8854.557
2458322.61194370,2458322.70436691,7985.366
2458322.84309777,2458322.86501948,1894.035
2458323.37651484,2458323.46943888,8028.637
2458323.54880204,2458323.64607848,8404.684
2458323.75511372,2458323.80847920,4610.777
2458324.30744640,2458324.37757748,6059.325
2458324.46800967,2458324.56464398,8349.204
2458324.64938268,2458324.72886332,6867.127
2458325.37166192,2458325.45615311,7300.039
2458325.53509577,2458325.62660000,7905.965
2458325.72419089,2458325.78306650,5086.853
2458326.26491684,2458326.30164983,3173.730
2458326.41210825,2458326.49829232,7446.304
2458326.57574844,2458326.66058929,7330.249
2458326.76707407,2458326.81113581,3806.934
2458327.28045662,2458327.32768766,4080.762
2458327.42752443,2458327.51138877,7245.878
2458327.58856232,2458327.66889296,6940.567
2458327.77588931,2458327.81521982,3398.155
2458328.27498105,2458328.31662612,3598.135
2458328.41814935,2458328.49757869,6862.695
2458328.57391990,2458328.65264492,6801.842
2458328.75175665,2458328.79672856,3885.573
2458329.25034452,2458329.26911869,1622.088
2458329.38505493,2458329.45692349,6209.444
2458329.53389855,2458329.61210853,6757.342
2458329.69902789,2458329.75543435,4873.518
2458330.32993096,2458330.38727981,4954.940
2458330.47116721,2458330.54648020,6507.043
2458330.62346738,2458330.69059599,5799.912
2458330.79915225,2458330.82368115,2119.297
2458331.25670618,2458331.28171281,2160.572
2458331.38803467,2458331.45303094,5615.678
2458331.52933932,2458331.60100720,6192.105
2458331.68322963,2458331.73801865,4733.772
2458332.28704414,2458332.32504919,3283.636
2458332.41849302,2458332.48334352,5603.083
2458332.55785835,2458332.62491912,5794.051
2458332.71005774,2458332.75683230,4041.322
2458333.29229894,2458333.32953066,3216.820
2458333.42074642,2458333.48211962,5302.644
2458333.55620770,2458333.62001937,5513.328
2458333.70293840,2458333.74866965,3951.180
2458334.27164731,2458334.29946640,2403.570
