"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458271.20452713,2458271.21905028,1254.800
2458271.51680535,2458271.58016744,5474.484
2458272.06769070,2458272.09410106,2281.855
2458272.37227260,2458272.44458684,6247.951
2458273.23457932,2458273.29485991,5208.242
2458274.23209918,2458274.23818349,525.684
2458274.52280286,2458274.58566273,5431.092
2458275.05831551,2458275.08674366,2456.192
2458275.34799598,2458275.42156583,6356.435
2458276.18942176,2458276.24042709,4406.860
2458277.14023182,2458277.17094921,2653.982
2458277.42687038,2458277.49813518,6157.279
2458278.23882209,2458278.30483354,5703.389
2458279.18706986,2458279.20896018,1891.323
2458279.46117990,2458279.52993714,5940.625
2458280.25004637,2458280.31985556,6031.515
2458281.18184021,2458281.20606826,2093.304
2458281.44622295,2458281.51655593,6076.769
2458282.21972694,2458282.28621985,5744.987
2458283.12416051,2458283.16121309,3201.343
2458283.38130596,2458283.45703037,6542.589
2458284.15198910,2458284.20042122,4184.535
2458284.58395002,2458284.60566951,1876.564
2458285.03197707,2458285.06956878,3247.923
2458285.27626477,2458285.35347481,6670.947
2458286.16728385,2458286.19796108,2650.512
2458286.40898780,2458286.48349806,6437.687
2458287.15235068,2458287.20562005,4602.474
2458287.57544381,2458287.59824920,1970.386
2458288.01526416,2458288.05299039,3259.546
2458288.24752654,2458288.32457917,6657.348
2458289.11328030,2458289.15626958,3714.274
2458289.34647421,2458289.42612392,6881.735
2458290.08796318,2458290.10441464,1421.406
2458290.22521929,2458290.23800936,1105.062
2458290.44372047,2458290.51530923,6185.269
2458291.15471659,2458291.21462004,5175.658
2458291.57088001,2458291.59237039,1856.769
2458291.99800892,2458292.03694201,3363.819
2458292.21657972,2458292.29324560,6623.932
2458293.05559006,2458293.10621282,4373.806
2458293.27502973,2458293.35790981,7160.839
2458294.11313182,2458294.16019037,4065.859
2458294.32837120,2458294.41096248,7135.886
2458295.16478535,2458295.20101422,3130.175
2458295.37374750,2458295.45326229,6870.078
2458296.07412179,2458296.09641751,1926.351
2458296.21005836,2458296.23125579,1831.458
2458296.40933651,2458296.48538398,6570.501
2458297.09391913,2458297.13562076,3603.021
2458297.24904376,2458297.25270019,315.916
2458297.43464202,2458297.50788640,6328.314
2458298.10631370,2458298.15723318,4399.443
2458298.44990240,2458298.52135945,6173.889
2458299.11173030,2458299.16722357,4794.618
2458299.45562691,2458299.52640708,6115.407
2458300.11056880,2458300.16732582,4903.806
2458300.45236127,2458300.52358955,6154.123
2458301.10327044,2458301.15828299,4753.085
2458301.44059841,2458301.51337768,6288.129
2458302.09027785,2458302.14018669,4312.124
2458302.25279851,2458302.25557733,240.090
2458302.42070487,2458302.49610303,6514.401
2458303.07196428,2458303.11206889,3465.038
2458303.21810505,2458303.23852346,1764.151
2458303.39296431,2458303.47199397,6828.163
2458304.04854505,2458304.06883066,1752.677
2458304.17938889,2458304.21611027,3172.727
2458304.35766434,2458304.44119236,7216.821
2458305.13683630,2458305.18797292,4418.204
2458305.31529010,2458305.40373830,7641.924
2458306.09035038,2458306.15300768,5413.591
2458306.26691588,2458306.35953485,8002.279
2458307.03995225,2458307.10907108,5971.867
2458307.21470168,2458307.30828368,8085.485
2458307.98650595,2458308.05362960,5799.483
2458308.16151319,2458308.24932263,7586.735
2458308.56452356,2458308.57247034,686.602
2458308.93662965,2458308.98618290,4281.400
2458309.10857305,2458309.18104650,6261.706
2458309.43950870,2458309.51255575,6311.266
2458310.05406791,2458310.09765357,3765.801
2458310.19880279,2458310.23097186,2779.408
2458310.35709514,2458310.44214513,7348.319
2458311.10689792,2458311.17224417,5645.915
2458311.26739808,2458311.36395059,8342.136
2458312.02013693,2458312.09832134,6755.133
2458312.17925154,2458312.27769688,8505.678
2458312.93809135,2458313.00168626,5494.600
2458313.10252392,2458313.18141724,6816.383
2458313.42855841,2458313.50337286,6463.969
2458314.02986152,2458314.06313033,2874.425
2458314.16473126,2458314.21411338,4266.615
2458314.31487982,2458314.40740204,7993.920
2458315.05126345,2458315.13424019,7169.190
2458315.19832623,2458315.30357815,9093.766
2458315.94715758,2458316.02208692,6473.895
2458316.10322821,2458316.19015294,7510.296
2458316.43041384,2458316.50488870,6434.628
2458317.02004248,2458317.05223514,2781.446
2458317.15370813,2458317.21013541,4875.317
2458317.29623293,2458317.39297877,8358.841
2458318.02493126,2458318.11776883,8021.166
2458318.16169350,2458318.27247944,9571.906
2458318.91168529,2458318.97790606,5721.475
2458319.06497015,2458319.13924176,6417.067
2458319.24816379,2458319.25848542,891.788
2458319.37061614,2458319.45524080,7311.571
2458320.08352474,2458320.17147046,7598.510
2458320.21265478,2458320.32616531,9807.310
2458320.94888579,2458321.03836483,7730.989
2458321.08863404,2458321.18603839,8415.736
2458321.41470295,2458321.49171961,6654.240
2458321.99250309,2458322.00460093,1045.253
2458322.11766812,2458322.19685781,6841.989
2458322.24271458,2458322.35361230,9581.563
2458322.96729003,2458323.08007880,9744.950
2458323.08259167,2458323.20394525,10484.949
2458323.44170157,2458323.50342432,5332.846
2458323.99427143,2458324.01948381,2178.349
2458324.12415660,2458324.20559972,7036.685
2458324.24136532,2458324.35575681,9883.425
2458324.96200495,2458325.19512404,20141.489
2458325.41513892,2458325.49196482,6637.757
2458325.97877213,2458325.98464553,507.462
2458326.10278807,2458326.33355100,19937.917
2458326.93389451,2458327.16037069,19567.542
2458327.37277473,2458327.45807164,7369.654
2458328.05707155,2458328.28800879,19952.977
2458328.88757974,2458328.97373706,7443.992
2458329.01915676,2458329.09847209,6852.844
2458329.19341495,2458329.24336417,4315.613
2458329.29936695,2458329.40217959,8883.013
2458329.99138305,2458330.21957428,19715.723
2458330.46829655,2458330.50375549,3063.653
2458330.87367181,2458330.88205968,724.712
2458330.97204585,2458330.99377805,1877.661
2458331.10170595,2458331.32493688,19287.152
2458331.91002220,2458332.12608151,18667.524
2458332.22821996,2458332.25911690,2669.496
2458332.32238634,2458332.42028144,8458.136
2458333.00119669,2458333.22581492,19407.015
2458333.47918820,2458333.50308322,2064.530
2458333.86049826,2458333.88273522,1921.273
2458333.96344290,2458333.98507346,1868.881
2458334.09386909,2458334.31369606,18993.050
2458334.89093358,2458335.09906289,17982.372
2458335.19332025,2458335.25571716,5391.093
2458335.27713001,2458335.39279756,9993.676
2458335.96416250,2458336.18314318,18919.931
2458336.37898234,2458336.46316455,7273.343
2458337.03623623,2458337.25544578,18939.705
2458337.83887456,2458337.91289882,6395.696
2458337.96174637,2458338.00829235,4021.572
2458338.10648477,2458338.31910980,18370.803
2458338.88375039,2458339.08572059,17450.225
2458339.17752090,2458339.37519971,17079.448
2458339.93458862,2458340.14545145,18218.549
2458340.25797286,2458340.27714821,1656.750
2458340.32325383,2458340.42406356,8709.960
2458340.98196737,2458341.19529087,18431.150
2458341.38434375,2458341.46510003,6977.342
2458342.02502872,2458342.23755964,18362.671
2458342.82711693,2458342.87860954,4448.962
2458342.93208671,2458342.94340510,977.909
2458343.06373446,2458343.27336420,18112.010
2458343.83078174,2458344.00084754,14693.685
2458344.09815833,2458344.30334223,17727.889
2458344.85262505,2458345.03753968,15976.624
2458345.12827445,2458345.32788086,17245.994
2458345.87253758,2458346.06428733,16567.179
2458346.15385047,2458346.34721179,16706.418
2458346.88853293,2458347.08362168,16855.667
2458347.17439828,2458347.36147015,16163.010
2458347.90004288,2458348.09651442,16975.141
2458348.18920616,2458348.37073554,15684.138
2458348.90680463,2458349.10338976,16984.956
2458349.19749873,2458349.37505796,15341.118
2458349.90867193,2458350.10441946,16912.587
2458350.19871048,2458350.37446736,15185.395
2458350.90557518,2458351.09962928,16766.274
2458351.19273676,2458351.36897301,15226.812
2458351.89751589,2458352.08892678,16537.901
2458352.17997905,2458352.35856275,15429.631
2458352.88456837,2458353.07207252,16200.358
2458353.16115558,2458353.34321018,15729.518
2458353.86688990,2458354.04857040,15697.195
2458354.13703662,2458354.32288479,16057.282
2458354.84475856,2458355.01736675,14913.348
2458355.10826568,2458355.29755349,16354.467
2458355.81873264,2458355.97591065,13580.181
2458356.07530385,2458356.26716546,16576.844
2458356.79062307,2458356.91567070,10804.115
2458357.03845193,2458357.23161431,16689.229
2458357.99790007,2458358.19066418,16654.819
2458358.36715701,2458358.43136679,5547.725
2458358.95378006,2458359.14379828,16417.574
2458359.25433070,2458359.39471525,12129.225
2458359.90622501,2458360.08985650,15865.761
2458360.18059089,2458360.34807823,14470.906
2458360.85549284,2458361.02594973,14727.475
2458361.11489739,2458361.29545445,15600.130
2458361.80252352,2458361.94254512,12097.867
2458362.05077360,2458362.23712463,16100.730
2458362.98580533,2458363.17248837,16129.415
2458363.31257258,2458363.41055870,8466.001
2458363.91889202,2458364.09974883,15626.028
2458364.19223236,2458364.35083765,13703.497
2458364.84969814,2458365.01367329,14167.453
2458365.10340975,2458365.28053956,15304.016
2458365.77964189,2458365.89075116,9599.841
2458366.02020976,2458366.20294867,15788.642
2458366.93738149,2458367.11652140,15477.688
2458367.21367806,2458367.36041767,12678.302
2458367.85327776,2458368.01479567,13955.147
2458368.10398926,2458368.27699518,14947.712
2458368.76922940,2458368.86313271,8113.246
2458369.00542143,2458369.18451431,15473.625
2458369.90869077,2458370.08057125,14850.474
2458370.16944853,2458370.32634888,13556.190
2458370.81177635,2458370.94966234,11913.350
2458371.05256566,2458371.22710679,15080.353
2458371.94357587,2458372.11687558,14973.095
2458372.21433647,2458372.35322465,11999.939
2458372.83599869,2458372.98457383,12836.892
2458373.07805318,2458373.24772543,14659.683
2458373.73400174,2458373.76075215,2311.235
2458373.95784378,2458374.12961992,14841.458
2458374.23293067,2458374.36011011,10988.304
2458374.84069081,2458374.98880347,12796.933
2458375.08118491,2458375.24792449,14406.300
2458375.72927097,2458375.75457988,2186.690
2458375.95148022,2458376.12036196,14591.383
2458376.21971638,2458376.34976182,11235.926
2458376.82569100,2458376.96436377,11981.328
2458377.06186903,2458377.22791986,14346.792
2458377.92450318,2458378.08839818,14160.529
2458378.17866670,2458378.32133996,12326.969
2458378.79103495,2458378.90350254,9717.200
2458379.02095432,2458379.18679395,14328.544
2458379.87717358,2458380.03021951,13223.169
2458380.11723959,2458380.27191621,13364.060
2458380.73787489,2458380.78726493,4267.299
2458380.95969354,2458381.12234569,14053.145
2458381.22400235,2458381.34223386,10215.203
2458381.81016101,2458381.93289442,10604.167
2458382.03867285,2458382.19951291,13896.581
2458382.87920320,2458383.02845749,12895.571
2458383.11555284,2458383.26611650,13008.700
2458383.72593817,2458383.76329685,3227.789
2458383.94350131,2458384.10087198,13596.826
2458384.19511285,2458384.32130537,10903.034
2458384.78076761,2458384.87609977,8236.698
2458385.00297455,2458385.16080609,13636.645
2458385.83182725,2458385.96058580,11124.739
2458386.05783810,2458386.21158281,13283.543
2458386.87774590,2458387.02084178,12363.484
2458387.10852985,2458387.25432923,12597.066
2458387.70677239,2458387.72910834,1929.826
2458387.91824610,2458388.06729335,12877.683
2458388.15587753,2458388.28903650,11504.935
2458388.73883412,2458388.78990586,4412.598
2458388.95319645,2458389.10413118,13040.761
2458389.20179448,2458389.31389069,9685.112
2458389.76688725,2458389.84340345,6611.000
2458389.98247221,2458390.13312866,13016.717
2458390.25441586,2458390.31681622,5391.392
2458390.78967441,2458390.88459933,8201.513
2458391.00591350,2458391.15512569,12891.933
2458391.80685673,2458391.91263308,9139.077
2458392.02331722,2458392.17054797,12720.737
2458392.81824214,2458392.92931848,9596.996
2458393.03445703,2458393.17961602,12541.736
2458393.82368839,2458393.93607628,9710.313
2458394.03912638,2458394.18243420,12381.795
2458394.82309414,2458394.93348749,9537.986
2458395.03719308,2458395.17902473,12254.254
2458395.81640821,2458395.92143177,9074.035
2458396.02864298,2458396.16933558,12155.840
2458396.80364149,2458396.89917876,8254.420
2458397.01358893,2458397.15323840,12065.714
2458397.78487225,2458397.86570739,6984.156
2458397.99224048,2458398.13051261,11946.712
2458398.76024861,2458398.82135825,5279.872
2458398.96485209,2458399.10078657,11744.739
2458399.20908446,2458399.28138844,6247.064
2458399.73000887,2458399.77009671,3463.589
2458399.93167415,2458400.06337868,11379.271
2458400.15681456,2458400.26386831,9249.444
2458400.69463676,2458400.71617157,1860.608
2458400.89292251,2458401.01690734,10712.290
2458401.10746980,2458401.22911255,10509.934
2458401.84876958,2458401.95838507,9470.778
2458402.05620144,2458402.18456660,11090.750
2458402.79936205,2458402.88232333,7167.854
2458403.00153805,2458403.13139518,11219.656
2458403.74489539,2458403.79126702,4006.508
2458403.94277742,2458404.06875731,10884.663
2458404.16814946,2458404.25610951,7599.749
2458404.68599498,2458404.70431597,1582.933
2458404.87952665,2458404.99334482,9833.890
2458405.08688549,2458405.20490450,10196.842
2458405.81157965,2458405.89670089,7354.475
2458406.01084992,2458406.13519609,10743.509
2458406.73896558,2458406.77979791,3527.913
2458406.93298835,2458407.05258322,10332.996
2458407.15110175,2458407.23981430,7664.764
2458407.66290376,2458407.67317194,887.171
2458407.85148425,2458407.95103634,8601.301
2458408.05156197,2458408.16907916,10153.485
2458408.76572963,2458408.81927630,4626.432
2458408.95854823,2458409.07656071,10196.278
2458409.19915463,2458409.22632479,2347.502
2458409.67621834,2458409.69139379,1311.159
2458409.86366735,2458409.96338433,8615.547
2458410.06255690,2458410.17427177,9652.165
2458410.76516319,2458410.81604590,4396.267
2458410.95542872,2458411.06932909,9840.992
2458411.19590738,2458411.21337718,1509.390
2458411.66351943,2458411.67498948,991.012
2458411.84795508,2458411.93828439,7804.453
2458412.04255819,2458412.15265103,9512.022
2458412.73737595,2458412.77303628,3081.053
2458412.92393166,2458413.03062879,9218.632
2458413.13321350,2458413.21082736,6705.838
2458413.80495780,2458413.87249412,5835.138
2458413.99358850,2458414.10246599,9407.015
2458414.68335154,2458414.70017757,1453.769
2458414.86540621,2458414.95544386,7779.253
2458415.05843692,2458415.15904859,8692.849
2458415.73587947,2458415.76878230,2842.804
2458415.91871918,2458416.01843561,8615.500
2458416.12401293,2458416.19532129,6161.042
2458416.78144082,2458416.83290779,4446.746
2458416.96505660,2458417.06707342,8814.253
