"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458273.27293323,2458273.27532184,206.376
2458275.26737924,2458275.26968002,198.787
2458278.20295260,2458278.20714951,362.613
2458279.23624105,2458279.23942861,275.405
2458280.23362901,2458280.23675464,270.055
2458281.19646065,2458281.20050510,349.440
2458284.17971337,2458284.18364203,339.436
2458289.16868019,2458289.17166499,257.886
2458303.95033438,2458303.95367965,289.031
2458304.03816400,2458304.04384133,490.522
2458304.79162571,2458304.79831606,578.046
2458304.86783194,2458304.87798961,877.622
2458304.94403203,2458304.95423811,881.805
2458305.01939287,2458305.02666975,628.723
