"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458273.26973319,2458273.27530271,481.206
2458275.26393228,2458275.26950380,481.379
2458277.12855418,2458277.13620047,660.640
2458278.19839659,2458278.20621319,675.354
2458279.23138380,2458279.23805683,576.550
2458280.22814545,2458280.23483629,578.088
2458281.19005698,2458281.19791082,678.571
2458282.11927616,2458282.12715608,680.825
2458284.17006631,2458284.17820764,703.411
2458288.25161106,2458288.25406046,211.628
2458289.14949428,2458289.15793297,729.103
2458290.22697106,2458290.23169026,407.739
2458291.24530294,2458291.24631697,87.612
2458292.20867534,2458292.21428154,484.375
2458293.12225305,2458293.13117173,770.574
2458294.16827910,2458294.17584191,653.427
2458295.15293075,2458295.16103897,700.550
2458296.08120377,2458296.09060677,812.419
2458297.10560588,2458297.11511680,821.744
2458298.06462286,2458298.07461326,863.170
2458298.20535393,2458298.20792044,221.747
2458299.09285846,2458299.10299386,875.699
2458300.04802889,2458300.05924205,968.817
2458300.17116104,2458300.17658219,468.387
2458301.04834301,2458301.06038176,1040.148
2458301.16323663,2458301.16872499,474.194
2458301.96878772,2458301.98082294,1039.843
2458302.07424804,2458302.08588697,1005.603
2458302.90834794,2458302.92256696,1228.523
2458303.00664832,2458303.02173289,1303.306
2458303.10430027,2458303.11388525,828.143
2458303.75998995,2458303.77178648,1019.220
2458303.84807990,2458303.86610546,1557.408
2458303.93704634,2458303.95465111,1521.053
2458304.02497848,2458304.03886590,1199.873
2458304.11352411,2458304.11894756,468.585
2458304.76584514,2458304.77355413,666.057
2458304.83922468,2458304.84913720,856.442
2458304.91273058,2458304.92168933,774.036
2458304.98559079,2458304.99130888,494.043

