"Start Time (JDate)","Stop Time (JDate)","Duration (sec)"
2458272.00733622,2458272.01375834,554.871
2458272.85637615,2458272.86171890,461.614
2458274.90778731,2458274.91586548,697.954
2458276.85565569,2458276.86191373,540.694
2458277.97932225,2458277.98621590,595.611
2458284.96439966,2458284.97107229,576.516
2458285.85887176,2458285.86655850,664.135
2458287.87720487,2458287.88537643,706.023
2458288.98973604,2458288.99386394,356.651
2458290.84621079,2458290.85383530,658.758
2458291.86854921,2458291.87670785,704.907
2458292.86147089,2458292.86957393,700.103
2458293.82679049,2458293.83371757,598.499
2458295.90691798,2458295.91436740,643.629
2458297.86695290,2458297.87499882,695.168
2458298.91353514,2458298.92024800,579.991
2458299.92915516,2458299.93477338,485.414
2458300.91486306,2458300.92105518,534.999
2458301.87239025,2458301.87999071,656.680
2458302.80560009,2458302.81144526,505.022
2458303.89619109,2458303.90255420,549.773
2458305.80285031,2458305.80831740,472.356
2458306.79963850,2458306.80430991,403.609
2458307.93025135,2458307.93174846,129.350
2458308.85964537,2458308.86609235,557.019
2458309.91976061,2458309.92091953,100.131
2458312.88538952,2458312.88773595,202.732
2458313.80976827,2458313.81351074,323.349
2458314.83768136,2458314.84172422,349.304
2458315.83000747,2458315.83149475,128.501
2458321.45447914,2458321.46018413,492.911
2458322.40286431,2458322.41304360,879.490
2458322.50374323,2458322.51639007,1092.687
2458322.61350111,2458322.62027677,585.417
2458322.72074014,2458322.72420997,299.793
2458323.40191835,2458323.41346858,997.940
2458323.49442613,2458323.51127847,1456.042
2458323.59309511,2458323.60923701,1394.660
2458323.69369858,2458323.70527937,1000.580
2458324.34749937,2458324.35383054,547.013
2458324.43155539,2458324.44549105,1204.041
2458324.51857452,2458324.53649641,1548.451
2458324.60858412,2458324.62677443,1571.642
2458324.70085068,2458324.71448923,1178.371
2458325.39242725,2458325.40226466,849.952
2458325.47213395,2458325.48680996,1268.007
2458325.55294394,2458325.56920045,1404.562
2458325.63442815,2458325.64942240,1295.503
2458325.71766748,2458325.72628569,744.614
2458326.41901206,2458326.42374012,408.505
2458326.48986849,2458326.49667504,588.086
2458326.56104263,2458326.56713389,526.285

